_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET;
600045;SOCOLEC;GENIE CLIMATIQUE;TSL-050-050-TF;00029232069;RADIATEUR SECHE-SERVIETTES  ATOLL ELECT  500W;          ACOVA                          ;UNITÉ;328,90;187,47;
600046;SOCOLEC;GENIE CLIMATIQUE;TAX-125-077;00029003972;RADIATEUR ATOLL 1250W;          ACOVA                          ;UNITÉ;426,10;234,35;
600047;SOCOLEC;GENIE CLIMATIQUE;TFAS-100-050;00029002919;RADIATEUR SECHE-SERVIETTES  FASSANE SPA EL 1000W BLC;          ACOVA                          ;UNITÉ;542,50;309,22;
600048;SOCOLEC;GENIE CLIMATIQUE;TAX-075-045;00029003970;RADIATEUR ATOLL 750W;          ACOVA                          ;UNITÉ;325,30;178,91;
600049;SOCOLEC;GENIE CLIMATIQUE;TAX-100-061;00029003971;RADIATEUR ATOLL 1000W;          ACOVA                          ;UNITÉ;381,20;209,66;
600050;SOCOLEC;GENIE CLIMATIQUE;THXP100 - 180LF;00029004217;RADIATEUR FASSANE  PREMIUM  1000 W;          ACOVA                          ;UNITÉ;909,00;518,13;
600051;SOCOLEC;GENIE CLIMATIQUE;THXP075 - 200LF;00029004216;RADIATEUR FASSANE  PREMIUM   750 W;          ACOVA                          ;UNITÉ;899,70;512,83;
600052;SOCOLEC;GENIE CLIMATIQUE;TAX-050-037;00029003969;RADIATEUR ATOLL 500W;          ACOVA                          ;UNITÉ;298,40;164,12;
600053;SOCOLEC;GENIE CLIMATIQUE;TLN-075-050;00029001916;RADIATEUR SECHE-SERVIETTES  CALA ELECT  750W;          ACOVA                          ;UNITÉ;387,40;220,83;
600054;SOCOLEC;GENIE CLIMATIQUE;THXP200 - 200LF;00029004225;RADIATEUR FASSANE  PREMIUM  2000 W;          ACOVA                          ;UNITÉ;1 190,90;678,81;
600055;SOCOLEC;GENIE CLIMATIQUE;11056046;00046056046;CAISSON VEKITA + 2000 SIMPLE;ALDES ;UNITÉ;767,00;444,86;
600056;SOCOLEC;GENIE CLIMATIQUE;11052236;00046052236;TERMINAL BIM 320 Ø100 BLANCHE;ALDES ;UNITÉ;70,80;41,06;
600057;SOCOLEC;GENIE CLIMATIQUE;11023975;00046023975;COUDE VERTICAL 90° POUR CONDUIT Ø125;ALDES ;UNITÉ;7,42;4,30;
600058;SOCOLEC;GENIE CLIMATIQUE;11027006;00046027006;VMC DOUBLE FLUX MOTO VENTILATEUR H  3-4 ET H 4-5;ALDES ;UNITÉ;533,00;309,14;
600059;SOCOLEC;GENIE CLIMATIQUE;11052039;00046052039;GRILLE EXTERIEURE SERIE AWA 251 ALUMINIUM 300X300;ALDES ;UNITÉ;81,60;47,33;
600060;SOCOLEC;GENIE CLIMATIQUE;11070019;00046070019;PLINTHE RAMASSE MIETTE BLC;ALDES ;UNITÉ;67,60;39,27;
600061;SOCOLEC;GENIE CLIMATIQUE;11011510;00046011510;ENTREE D'AIR AUTOREGLABLE EMMA BLANC;ALDES ;UNITÉ;3,83;2,22;
600062;SOCOLEC;GENIE CLIMATIQUE;11056048;00046056048;CAISSON VEKITA + 3000 SIMPLE;ALDES ;UNITÉ;953,00;552,74;
600063;SOCOLEC;GENIE CLIMATIQUE;11033163;00046033163;VMC SIMPLE FLUX HYGROREGLABLE KIT BAHIA 3/4 HYGRO A;ALDES ;UNITÉ;439,00;254,62;
600064;SOCOLEC;GENIE CLIMATIQUE;11019090;00046019090;BOUCHE AUTOREGLABLE BAP'SI MODULO Ø 125  15/22/30 M3H AVEC FÛT POUR SANITAIRES (MONO DEBIT);ALDES ;UNITÉ;19,00;11,02;
600065;SOCOLEC;GENIE CLIMATIQUE;11011988;00046011988;AUVENT STANDARD;ALDES ;UNITÉ;1,68;0,97;
600066;SOCOLEC;GENIE CLIMATIQUE;11023059;00046023059;UNITE FILTRANTE Ø160 POUR DEE-FLY;ALDES ;UNITÉ;150,00;51,27;
600067;SOCOLEC;GENIE CLIMATIQUE;11052246;00046052246;TERMINAL BEM 780 Ø125 BLANCHE;ALDES ;UNITÉ;60,70;35,21;
600068;SOCOLEC;GENIE CLIMATIQUE;11052245;00046052245;TERMINAL BEM 780 Ø100 BLANCHE;ALDES ;UNITÉ;60,70;35,21;
600069;SOCOLEC;GENIE CLIMATIQUE;11023017;00046023017;RACCORD DROIT F 40X100;ALDES ;UNITÉ;1,15;0,67;
600070;SOCOLEC;GENIE CLIMATIQUE;11023970;00046023970;RACCORD DROIT F 60X200;ALDES ;UNITÉ;4,15;2,41;
600071;SOCOLEC;GENIE CLIMATIQUE;11023971;00046023971;MINIGAINE OBLONGUE 60X200MM. LA BARRE DE 3M;ALDES ;UNITÉ;27,20;15,78;
600072;SOCOLEC;GENIE CLIMATIQUE;11023037;00046023037;CAISSON REPARTITEUR INSUFLATION CIRCULAIRE ISOLE Ø125, 6 PIQUAGES Ø80;ALDES ;UNITÉ;99,00;57,42;
600073;SOCOLEC;GENIE CLIMATIQUE;11011333;00046011333;MANCHON DE RACCORDEMENT POUR ENTREE D'AIR L90;ALDES ;UNITÉ;19,40;11,64;
600074;SOCOLEC;GENIE CLIMATIQUE;11027002;00046027002;KIT ACCESSOIRES VMP H 4-5;ALDES ;UNITÉ;290,00;168,20;
600075;SOCOLEC;GENIE CLIMATIQUE;11022037;00046022037;SORTIE TOITURE RONDE  + PL. DE PLOMB;ALDES ;UNITÉ;135,00;78,30;
600076;SOCOLEC;GENIE CLIMATIQUE;11053757;00046053757;CONTRE CADRE GALVANISE  300X300;ALDES ;UNITÉ;60,40;35,03;
600077;SOCOLEC;GENIE CLIMATIQUE;11023115;00046023115;KIT ACCESSOIRES EXTRACTION CUISINE + 2 SANITAIRES Ø125;ALDES ;UNITÉ;5,07;3,50;
600078;SOCOLEC;GENIE CLIMATIQUE;11052233;00046052233;TERMINAL BIM 300 Ø160 BLANCHE;ALDES ;UNITÉ;84,00;48,72;
600079;SOCOLEC;GENIE CLIMATIQUE;11011554;00046011554;ENTREE D'AIR ACOUSTIQUE  EAI MODULE 30;ALDES ;UNITÉ;16,30;9,45;
600080;SOCOLEC;GENIE CLIMATIQUE;11023977;00046023977;COUDE HORIZONTAL 90° 40X100;ALDES ;UNITÉ;6,36;3,69;
600081;SOCOLEC;GENIE CLIMATIQUE;11023077;00046023077;KIT ACCESSOIRES INSUFFLATION 5 BOUCHES ( LIVRE AVEC 5 COUDES MINIGAINE POUR BOUCHES);ALDES ;UNITÉ;64,10;37,18;
600082;SOCOLEC;GENIE CLIMATIQUE;11056043;00046056043;CAISSON VEKITA + 700 ISOLE;ALDES ;UNITÉ;540,00;313,20;
600083;SOCOLEC;GENIE CLIMATIQUE;11026101;00046026101;VMC SIMPLE FLUX AUTOREGLABLE  KIT COMPACT;ALDES ;UNITÉ;163,00;94,54;
600084;SOCOLEC;GENIE CLIMATIQUE;11023139;00046023139;CAISSON ECHANGEUR ES300-HE BYPASS + CDE;ALDES ;UNITÉ;1 340,00;723,60;
600085;SOCOLEC;GENIE CLIMATIQUE;11011552;00046011552;ENTREE D'AIR ACOUSTIQUE  ELLIA MODULE 22;ALDES ;UNITÉ;24,10;13,98;
600086;SOCOLEC;GENIE CLIMATIQUE;11070328;00046070328;PRISE SOL FILAIRE;ALDES ;UNITÉ;48,20;27,96;
600087;SOCOLEC;GENIE CLIMATIQUE;11091013;00046091013;BANDE ADHESIF ALU  (ROULEAU DE 50 M);ALDES ;UNITÉ;15,90;9,36;
600088;SOCOLEC;GENIE CLIMATIQUE;11026114;00046026114;VMC SIMPLE FLUX AUTOREGLABLE KIT SEKOÏA  AVEC INVERSEUR;ALDES ;UNITÉ;139,00;51,43;
600089;SOCOLEC;GENIE CLIMATIQUE;11011539;00046011539;ENTREE D'AIR ACOUSTIQUE MODULE 30;ALDES ;UNITÉ;15,80;9,16;
600090;SOCOLEC;GENIE CLIMATIQUE;11033640;00046033640;KIT BAHIA BAIN HYGRO B;ALDES ;UNITÉ;89,40;42,02;
600091;SOCOLEC;GENIE CLIMATIQUE;11026115;00046026115;VMC SIMPLE FLUX AUTOREGLABLE KIT SEKOÏA  AVEC TIMER;ALDES ;UNITÉ;175,00;101,50;
600092;SOCOLEC;GENIE CLIMATIQUE;11033160;00046033160;VMC SIMPLE FLUX HYGROREGLABLE KIT BAHIA 3+ HYGRO B;ALDES ;UNITÉ;431,00;185,33;
600093;SOCOLEC;GENIE CLIMATIQUE;11027001;00046027001;KIT ACCESSOIRES VMP H 3-4;ALDES ;UNITÉ;247,00;143,26;
600094;SOCOLEC;GENIE CLIMATIQUE;11015102;00046015102;BOUCHE HYGROREGLABLE BWC ELECTRIQUE PRESENCE;ALDES ;UNITÉ;72,00;36,00;
600095;SOCOLEC;GENIE CLIMATIQUE;11014170;00046014170;ENTREE D'AIR HYGROREGLABLES  EHB;ALDES ;UNITÉ;28,00;14,00;
600096;SOCOLEC;GENIE CLIMATIQUE;11033180;00046033180;VMC SIMPLE FLUX HYGROREGLABLE COMPACT  KIT BAHIA MICRO WATT 3+ HYGRO B;ALDES ;UNITÉ;583,00;338,14;
600097;SOCOLEC;GENIE CLIMATIQUE;11091102;00046091102;MINIGAINE OBLONGUE 40X100MM. LA BARRE DE 3M;ALDES ;UNITÉ;16,70;9,69;
600098;SOCOLEC;GENIE CLIMATIQUE;11033110;00046033110;VMC GROUPE BAHIA MICROWATT BASSE CONSOMMATION;ALDES ;UNITÉ;316,00;183,28;
600099;SOCOLEC;GENIE CLIMATIQUE;11091623;00046091623;GAINE VENTILATION ISOLEE ALGAINE EP 25MM Ø160  LE FILET DE 6ML;ALDES ;UNITÉ;84,90;22,92;
600100;SOCOLEC;GENIE CLIMATIQUE;11070334;00046070334;CONTRE-PRISE + MECANISME SAGANE;ALDES ;UNITÉ;39,50;22,91;
600101;SOCOLEC;GENIE CLIMATIQUE;11030110;00046030110;SORTIE DE TOIT STANDARD STS 160;ALDES ;UNITÉ;89,80;57,71;
600102;SOCOLEC;GENIE CLIMATIQUE;11056049;00046056049;CAISSON VEKITA + 3000 ISOLE;ALDES ;UNITÉ;1 076,00;624,08;
600103;SOCOLEC;GENIE CLIMATIQUE;11052231;00046052231;TERMINAL BIM 300 Ø100 BLANCHE;ALDES ;UNITÉ;70,80;41,06;
600104;SOCOLEC;GENIE CLIMATIQUE;11023002;00046023002;COUDE VERTICAL 90° POUR CONDUIT Ø 80;ALDES ;UNITÉ;3,37;1,95;
600105;SOCOLEC;GENIE CLIMATIQUE;11093045;00046093045;RACCORD MALE GALVA POUR CONDUITS Ø160;ALDES ;UNITÉ;2,40;1,58;
600106;SOCOLEC;GENIE CLIMATIQUE;11033170;00046033170;VMC SIMPLE FLUX HYGROREGLABLE KIT BAHIA MICRO WATT 3+ HYGRO B;ALDES ;UNITÉ;530,00;227,90;
600107;SOCOLEC;GENIE CLIMATIQUE;11023195;00046023195;CAISSON DE REPARTITION T.ZEN;ALDES ;UNITÉ;101,00;58,58;
600108;SOCOLEC;GENIE CLIMATIQUE;11023973;00046023973;COUDE HORIZONTAL 90° 60X200;ALDES ;UNITÉ;9,55;5,54;
600109;SOCOLEC;GENIE CLIMATIQUE;11091199;00046091199;GAINE VENTILATION Ø 125 ALGAINE STANDARD  DEVIDOIR DE 20M;ALDES ;UNITÉ;59,70;16,12;
600110;SOCOLEC;GENIE CLIMATIQUE;11011555;00046011555;ENTREE D'AIR ACOUSTIQUE  EAI MODULE 22;ALDES ;UNITÉ;16,30;9,45;
600111;SOCOLEC;GENIE CLIMATIQUE;11091643;00046091643;GAINE VENTILATION ISOLEE ALGAINE EP 50MM Ø160 LE FILET DE 6 ML;ALDES ;UNITÉ;103,00;59,74;
600112;SOCOLEC;GENIE CLIMATIQUE;11022042;00046022042;CHATIERE BRUNE+ PL. DE PLOMB (125. 150 MM);ALDES ;UNITÉ;73,40;42,57;
600113;SOCOLEC;GENIE CLIMATIQUE;11023994;00046023994;COUDE HORIZONTAL 90° POUR CONDUIT Ø125;ALDES ;UNITÉ;10,40;6,03;
600114;SOCOLEC;GENIE CLIMATIQUE;11026103;00046026103;VMC SIMPLE FLUX AUTOREGLABLE REPARTIE MULTI;ALDES ;UNITÉ;270,00;156,60;
600115;SOCOLEC;GENIE CLIMATIQUE;11056067;00046056067;VENTILATEUR D'EXTRACTION MINIVEC 160;ALDES ;UNITÉ;436,00;252,88;
600116;SOCOLEC;GENIE CLIMATIQUE;11026022;00046026022;KIT SANITAIRE 30 M3 POUR COMPACT;ALDES ;UNITÉ;12,80;3,71;
600117;SOCOLEC;GENIE CLIMATIQUE;11011546;00046011546;ENTREE D'AIR ACOUSTIQUE MODULE 22;ALDES ;UNITÉ;15,80;9,16;
600118;SOCOLEC;GENIE CLIMATIQUE;11012402;00046012402;BOUCHE INSUFFLATION BIO Ø80 POUR DEE-FLY;ALDES ;UNITÉ;10,10;5,86;
600119;SOCOLEC;GENIE CLIMATIQUE;11056068;00046056068;VENTILATEUR D'EXTRACTION MINIVEC 180;ALDES ;UNITÉ;504,00;292,32;
600120;SOCOLEC;GENIE CLIMATIQUE;11091179;00046091179;GAINE VENTILATION Ø 150 ALGAINE STANDARD  DEVIDOIR DE 20M;ALDES ;UNITÉ;76,70;20,11;
600121;SOCOLEC;GENIE CLIMATIQUE;11023078;00046023078;KIT ACCESSOIRES EXTRACTION CUISINE + 2 SANITAIRES ( LIVRE AVEC 2 COUDES MINIGAINE POUR BOUCHES);ALDES ;UNITÉ;66,30;38,45;
600122;SOCOLEC;GENIE CLIMATIQUE;11033164;00046033164;VMC SIMPLE FLUX HYGROREGLABLE KIT BAHIA 5+ HYGRO A;ALDES ;UNITÉ;383,00;222,14;
600123;SOCOLEC;GENIE CLIMATIQUE;11070253;00046070253;KIT CONDUIT Ø51 SERIE T POUR 2 PRISES;ALDES ;UNITÉ;90,80;52,66;
600124;SOCOLEC;GENIE CLIMATIQUE;11022001;00046022001;MANCHETTE VAHINEE Ø80  HT133MM;ALDES ;UNITÉ;8,14;4,72;
600125;SOCOLEC;GENIE CLIMATIQUE;11023978;00046023978;RACCORD MIXTE OBL. CIRC. DROIT D80;ALDES ;UNITÉ;6,62;3,84;
600126;SOCOLEC;GENIE CLIMATIQUE;11023976;00046023976;COUDE VERTICAL 90° 40X100;ALDES ;UNITÉ;5,91;3,43;
600127;SOCOLEC;GENIE CLIMATIQUE;11052232;00046052232;TERMINAL BIM 300 Ø125 BLANCHE;ALDES ;UNITÉ;70,80;41,06;
600128;SOCOLEC;GENIE CLIMATIQUE;11027033;00046027033;KIT ACCESSOIRES VMP H 5-7;ALDES ;UNITÉ;501,00;290,58;
600129;SOCOLEC;GENIE CLIMATIQUE;11070375;00046070375;CENTRALE D'ASPIRATION ASPIR DOOBLE + SET FILAIRE;ALDES ;UNITÉ;1 575,00;693,00;
600130;SOCOLEC;GENIE CLIMATIQUE;11022036;00046022036;CHATIERE GRISE+ PL. DE PLOMB (125. 150 MM);ALDES ;UNITÉ;73,40;42,57;
600131;SOCOLEC;GENIE CLIMATIQUE;11023972;00046023972;REDUCTION MINIGAINE 60X200MM;ALDES ;UNITÉ;5,43;3,15;
600132;SOCOLEC;GENIE CLIMATIQUE;11093503;00046093503;REDUCTION GALVA 160/125;ALDES ;UNITÉ;8,50;5,56;
600133;SOCOLEC;GENIE CLIMATIQUE;11022066;00046022066;MANCHETTE TRIDENT Ø80  HT140MM;ALDES ;UNITÉ;6,97;4,04;
600134;SOCOLEC;GENIE CLIMATIQUE;11023194;00046023194;CAISSON DE RACCORDEMENT T.FLOW;ALDES ;UNITÉ;101,00;58,58;
600135;SOCOLEC;GENIE CLIMATIQUE;11070082;00046070082;PRISE DE SOL;ALDES ;UNITÉ;37,20;21,58;
600136;SOCOLEC;GENIE CLIMATIQUE;11023979;00046023979;TE MIXTE VERTICAL POUR BOUCHE DE 125;ALDES ;UNITÉ;16,40;9,51;
600137;SOCOLEC;GENIE CLIMATIQUE;11056041;00046056041;CAISSON VEKITA + 450 ISOLE;ALDES ;UNITÉ;433,00;251,14;
600138;SOCOLEC;GENIE CLIMATIQUE;11023995;00046023995;RACCORD MIXTE OBL. CIRC. DROIT D125;ALDES ;UNITÉ;7,89;4,58;
600139;SOCOLEC;GENIE CLIMATIQUE;11091198;00046091198;GAINE VENTILATION Ø  80 ALGAINE STANDARD  DEVIDOIR DE 20M;ALDES ;UNITÉ;41,70;11,26;
600140;SOCOLEC;GENIE CLIMATIQUE;11056070;00046056070;VENTILATEUR D'EXTRACTION MINIVEC 180 + PRESSOSTAT;ALDES ;UNITÉ;757,00;439,06;
600141;SOCOLEC;GENIE CLIMATIQUE;11019091;00046019091;BOUCHE AUTOREGLABLE BAP'SI MODULO Ø 125  30/45/60 M3H AVEC FÛT POUR SANITAIRES (MONO DEBIT);ALDES ;UNITÉ;19,00;11,02;
600142;SOCOLEC;GENIE CLIMATIQUE;11019092;00046019092;BOUCHE AUTOREGLABLE BAP'SI MODULO Ø 125  20/75- 30/90 M3H AVEC FÛT POUR CUISINE  (DOUBLE DEBIT);ALDES ;UNITÉ;32,00;18,56;
600143;SOCOLEC;GENIE CLIMATIQUE;11019093;00046019093;BOUCHE AUTOREGLABLE BAP'SI MODULO Ø 125  45/105- 45/120-45/135 M3H AVEC FÛT POUR CUISINE  (DOUBLE DEBIT);ALDES ;UNITÉ;32,00;18,56;
600144;SOCOLEC;GENIE CLIMATIQUE;11026100;00046026100;VMC GROUPE SEUL COMPACT;ALDES ;UNITÉ;152,00;88,16;
600145;SOCOLEC;GENIE CLIMATIQUE;11070231;00046070231;KIT CONDUIT Ø51 SERIE T POUR 3 PRISES;ALDES ;UNITÉ;136,00;78,88;
600146;SOCOLEC;GENIE CLIMATIQUE;11056042;00046056042;CAISSON VEKITA + 700 SIMPLE;ALDES ;UNITÉ;489,00;283,62;
600147;SOCOLEC;GENIE CLIMATIQUE;11026113;00046026113;VMC GROUPE SEUL SEKOÏA  SIMPLE FLUX AUTOREGLABLE;ALDES ;UNITÉ;127,00;73,66;
600148;SOCOLEC;GENIE CLIMATIQUE;11052237;00046052237;TERMINAL BIM 320 Ø125 BLANCHE;ALDES ;UNITÉ;70,80;41,06;
600149;SOCOLEC;GENIE CLIMATIQUE;11052238;00046052238;TERMINAL BIM 320 Ø160 BLANCHE;ALDES ;UNITÉ;84,00;48,72;
600150;SOCOLEC;GENIE CLIMATIQUE;11023135;00046023135;VMC DOUBLE FLUX MOTO VENTILATEUR DEE FLY HTE EFFICACITE MV300-HE MICRO-WATT;ALDES ;UNITÉ;1 100,00;594,00;
600151;SOCOLEC;GENIE CLIMATIQUE;11056014;00046056014;CAISSON VEKITA + 300 SIMPLE;ALDES ;UNITÉ;332,00;192,56;
