ID;FOURNISSEUR;FAMILLE;REFERENCE;DESIGNATION;MARQUE;prix au;PRIX DE BASE;PRIX NET
70113;;GENIE CLIMATIQUE;A689037;RADIATEUR CHALEUR DOUCE FONTEA 2000 HORIZONTAL;AIRELEC;UN;703,54;
70114;;GENIE CLIMATIQUE;A689157;RADIATEUR CHALEUR DOUCE FONTEA 2000 VERTICAL;AIRELEC;UN;702;
70115;;GENIE CLIMATIQUE;A689092;RADIATEUR CHALEUR DOUCE INTEGRALE INOVA CDI  750W;AIRELEC;UN;391,47;
70116;;GENIE CLIMATIQUE;A689093;RADIATEUR CHALEUR DOUCE INTEGRALE INOVA CDI 1000W;AIRELEC;UN;426,91;
70117;;GENIE CLIMATIQUE;A689094;RADIATEUR CHALEUR DOUCE INTEGRALE INOVA CDI 1250W;AIRELEC;UN;472,71;
70118;;GENIE CLIMATIQUE;A689095;RADIATEUR CHALEUR DOUCE INTEGRALE INOVA CDI 1500W;AIRELEC;UN;520,71;
70119;;GENIE CLIMATIQUE;A689097;RADIATEUR CHALEUR DOUCE INTEGRALE INOVA CDI 2000W;AIRELEC;UN;583,02;
70120;;GENIE CLIMATIQUE;A690662;RADIATEUR CHALEUR DOUCE INTEGRALE STYL'FONTE  750W;AIRELEC;UN;533,43;
70121;;GENIE CLIMATIQUE;A690663;RADIATEUR CHALEUR DOUCE INTEGRALE STYL'FONTE 1000W;AIRELEC;UN;576,42;
70122;;GENIE CLIMATIQUE;A690664;RADIATEUR CHALEUR DOUCE INTEGRALE STYL'FONTE 1250W;AIRELEC;UN;641,64;
70123;;GENIE CLIMATIQUE;A690665;RADIATEUR CHALEUR DOUCE INTEGRALE STYL'FONTE 1500W;AIRELEC;UN;694,51;
70124;;GENIE CLIMATIQUE;A690667;RADIATEUR CHALEUR DOUCE INTEGRALE STYL'FONTE 2000W;AIRELEC;UN;804,23;
70125;;GENIE CLIMATIQUE;A688251;RADIATEUR CLASSIQUE TACTIC 6 ORDRES  500 W;AIRELEC;UN;65,54;
70126;;GENIE CLIMATIQUE;A688252;RADIATEUR CLASSIQUE TACTIC 6 ORDRES  750 W;AIRELEC;UN;66,8;
70127;;GENIE CLIMATIQUE;A688253;RADIATEUR CLASSIQUE TACTIC 6 ORDRES 1000 W;AIRELEC;UN;68,9;
70128;;GENIE CLIMATIQUE;A688254;RADIATEUR CLASSIQUE TACTIC 6 ORDRES 1250 W;AIRELEC;UN;75,65;
70129;;GENIE CLIMATIQUE;A688255;RADIATEUR CLASSIQUE TACTIC 6 ORDRES 1500 W;AIRELEC;UN;77,76;
70130;;GENIE CLIMATIQUE;A688256;RADIATEUR CLASSIQUE TACTIC 6 ORDRES 1750 W;AIRELEC;UN;85,39;
70131;;GENIE CLIMATIQUE;A688257;RADIATEUR CLASSIQUE TACTIC 6 ORDRES 2000 W;AIRELEC;UN;88,84;
70132;;GENIE CLIMATIQUE;A687481;RADIATEUR CLASSIQUE TACTIC ET 4 ORDRES  500 W;AIRELEC;UN;54,46;
70133;;GENIE CLIMATIQUE;A687482;RADIATEUR CLASSIQUE TACTIC ET 4 ORDRES  750 W;AIRELEC;UN;55,59;
70134;;GENIE CLIMATIQUE;A687483;RADIATEUR CLASSIQUE TACTIC ET 4 ORDRES 1000 W;AIRELEC;UN;57,42;
70135;;GENIE CLIMATIQUE;A687484;RADIATEUR CLASSIQUE TACTIC ET 4 ORDRES 1250 W;AIRELEC;UN;62,68;
70136;;GENIE CLIMATIQUE;A687485;RADIATEUR CLASSIQUE TACTIC ET 4 ORDRES 1500 W;AIRELEC;UN;67,09;
70137;;GENIE CLIMATIQUE;A687486;RADIATEUR CLASSIQUE TACTIC ET 4 ORDRES 1750 W;AIRELEC;UN;75,02;
70138;;GENIE CLIMATIQUE;A687487;RADIATEUR CLASSIQUE TACTIC ET 4 ORDRES 2000 W;AIRELEC;UN;75,46;
70139;;GENIE CLIMATIQUE;A689662;RADIATEUR RAYONNANT AIXANCE SAS 6 ORDRES  750W;AIRELEC;UN;169,03;
70140;;GENIE CLIMATIQUE;A689663;RADIATEUR RAYONNANT AIXANCE SAS 6 ORDRES 1000W;AIRELEC;UN;177,58;
70141;;GENIE CLIMATIQUE;A689664;RADIATEUR RAYONNANT AIXANCE SAS 6 ORDRES 1250W;AIRELEC;UN;194,42;
70142;;GENIE CLIMATIQUE;A689665;RADIATEUR RAYONNANT AIXANCE SAS 6 ORDRES 1500W;AIRELEC;UN;208,34;
70143;;GENIE CLIMATIQUE;A689667;RADIATEUR RAYONNANT AIXANCE SAS 6 ORDRES 2000W;AIRELEC;UN;241,41;
70144;;GENIE CLIMATIQUE;A689673;RADIATEUR RAYONNANT AIXANCE SAS VERT 1000 W;AIRELEC;UN;186,34;
70145;;GENIE CLIMATIQUE;A689675;RADIATEUR RAYONNANT AIXANCE SAS VERT 1500 W;AIRELEC;UN;214,6;
70146;;GENIE CLIMATIQUE;A689677;RADIATEUR RAYONNANT AIXANCE SAS VERT 2000 W;AIRELEC;UN;248,66;
70147;;GENIE CLIMATIQUE;A689921;RADIATEUR SECHE-SERVIETTES  SAMOA BAINS 600W;AIRELEC;UN;418,95;
70148;;GENIE CLIMATIQUE;A689922;RADIATEUR SECHE-SERVIETTES  SAMOA BAINS 750W;AIRELEC;UN;487,48;
70149;;GENIE CLIMATIQUE;A689923;RADIATEUR SECHE-SERVIETTES  SAMOA BAINS 900W;AIRELEC;UN;563,73;
70150;;GENIE CLIMATIQUE;A689925;RADIATEUR SECHE-SERVIETTES  SAMOA BAINS VENTILE 600+V1000W;AIRELEC;UN;577,49;
70151;;GENIE CLIMATIQUE;A689926;RADIATEUR SECHE-SERVIETTES  SAMOA BAINS VENTILE 750+V1000W;AIRELEC;UN;671,93;
70152;;GENIE CLIMATIQUE;A689927;RADIATEUR SECHE-SERVIETTES  SAMOA BAINS VENTILE 900+V1000W;AIRELEC;UN;722,94;
70153;;GENIE CLIMATIQUE;B2TATAA1;BOITIER AVEC 1 THERMOSTAT D'AMBIANCE RADIO/DIGITAL POUR 2 ZONES;AJTECH;UN;354,84;
70154;;GENIE CLIMATIQUE;BCPCA1;BOUTEILLE CASSE PRESSION 2 LITRES AVEC CIRCULATEUR;AJTECH;UN;497,76;
70155;;GENIE CLIMATIQUE;BCPA1;BOUTEILLE CASSE PRESSION 2 LITRES SANS CIRCULATEUR;AJTECH;UN;318,3;
70156;;GENIE CLIMATIQUE;BMRA1;BOUTEILLE DE MELANGE REGULEE AVEC 1 SONDE EXTERIEURE POUR 2 T° D'EAU DIFFERENTES;AJTECH;UN;1274,72;
70157;;GENIE CLIMATIQUE;BMTA1;BOUTEILLE DE MELANGE THERMOSTATIQUE AVEC 1 THERMOSTAT D'AMBIANCE POUR 2 T° D'EAU DIFFERENTES;AJTECH;UN;824,99;
70158;;GENIE CLIMATIQUE;PKECS540A1A;CHAUFFE EAU GEOTHERMIQUE GEOSAN 540  200L  + SON CAPTEUR FRIGORIFIQUE EN CUIVRE AVEC PROTECTION EXTRUDEE;AJTECH;UN;2306,08;
70159;;GENIE CLIMATIQUE;PKECSA920A1A;CHAUFFE EAU THERMODYNAMIQUE AEROSAN 920  200L SANS LIAISON FRIGORIFIQUES;AJTECH;UN;2427,88;
70160;;GENIE CLIMATIQUE;BTI1003KITA1;KIT BALLON TAMPON INOX 100 LITRES + BOITIER REGULATION;AJTECH;UN;799,82;
70161;;GENIE CLIMATIQUE;1370060002;PAC AIR/EAU SPLIT TIVANO 060 MONO MODULE HYDRAUL. INTERIEUR + UNITE EXTERIEURE REVERSIBLE AVEC APPOINT ELEC 3KW. S/S CUVE ECS;AJTECH;UN;4553,7;
70162;;GENIE CLIMATIQUE;1321080057;PAC AIR/EAU SPLIT ZURAN 080 INVERTER MONO MODULE HYDRAUL. INTERIEUR + UNITE EXTERIEURE REVERSIBLE AVEC APPOINT ELEC 3KW.;AJTECH;UN;7538,61;
70163;;GENIE CLIMATIQUE;1321080058;PAC AIR/EAU SPLIT ZURAN 080 INVERTER MONO MODULE HYDRAUL. INTERIEUR + UNITE EXTERIEURE REVERSIBLE AVEC APPOINT ELEC 6KW.;AJTECH;UN;7547,54;
70164;;GENIE CLIMATIQUE;1321100129;PAC AIR/EAU SPLIT ZURAN 100 INVERTER MONO MODULE HYDRAUL. INTERIEUR + UNITE EXTERIEURE REVERSIBLE AVEC APPOINT ELEC 3KW.;AJTECH;UN;8329,5;
70165;;GENIE CLIMATIQUE;1321100130;PAC AIR/EAU SPLIT ZURAN 100 INVERTER MONO MODULE HYDRAUL. INTERIEUR + UNITE EXTERIEURE REVERSIBLE AVEC APPOINT ELEC 6KW.;AJTECH;UN;8338,43;
70166;;GENIE CLIMATIQUE;1321100131;PAC AIR/EAU SPLIT ZURAN 100 INVERTER TRI MODULE HYDRAUL. INTERIEUR + UNITE EXTERIEURE REVERSIBLE AVEC APPOINT ELEC 6KW.;AJTECH;UN;8661,6;
70167;;GENIE CLIMATIQUE;1321100132;PAC AIR/EAU SPLIT ZURAN 100 INVERTER TRI MODULE HYDRAUL. INTERIEUR + UNITE EXTERIEURE REVERSIBLE AVEC APPOINT ELEC 9KW.;AJTECH;UN;8688,4;
70168;;GENIE CLIMATIQUE;1321120073;PAC AIR/EAU SPLIT ZURAN 120 INVERTER TRI MODULE HYDRAUL. INTERIEUR + UNITE EXTERIEURE REVERSIBLE AVEC APPOINT ELEC 3KW.;AJTECH;UN;9605,15;
70169;;GENIE CLIMATIQUE;1321120074;PAC AIR/EAU SPLIT ZURAN 120 INVERTER TRI MODULE HYDRAUL. INTERIEUR + UNITE EXTERIEURE REVERSIBLE AVEC APPOINT ELEC 6KW.;AJTECH;UN;9614,08;
70170;;GENIE CLIMATIQUE;1321120075;PAC AIR/EAU SPLIT ZURAN 120 INVERTER TRI MODULE HYDRAUL. INTERIEUR + UNITE EXTERIEURE REVERSIBLE AVEC APPOINT ELEC 9KW.;AJTECH;UN;9631,94;
70171;;GENIE CLIMATIQUE;1370100004;PAC AIR/EAU SPLIT TIVANO 100 C MONO MODULE HYDRAUL. INTERIEUR + UNITE EXTERIEURE REVERSIBLE AVEC APPOINT ELEC 3KW. S/S CUVE ECS;AJTECH;UN;4947,52;
70172;;GENIE CLIMATIQUE;1370100001;PAC AIR/EAU SPLIT TIVANO 100 MONO MODULE HYDRAUL. INTERIEUR + UNITE EXTERIEURE REVERSIBLE AVEC APPOINT ELEC 3KW. POUR CUVE ECS 200 L;AJTECH;UN;4947,52;
70173;;GENIE CLIMATIQUE;5060000044;CUVE ECS 200 LITRES POUR TIVANO 100;AJTECH;UN;1659,73;
70174;;GENIE CLIMATIQUE;1325100023;PAC AIR/EAU SPLIT BAGUIO 100 MONO MODULE HYDRAUL. INTERIEUR + UNITE EXTERIEURE REVERSIBLE AVEC APPOINT ELEC 4,5KW. S/S CUVE ECS;AJTECH;UN;6426,17;
70175;;GENIE CLIMATIQUE;1325100024;PAC AIR/EAU SPLIT BAGUIO 100 MONO MODULE HYDRAUL. INTERIEUR + UNITE EXTERIEURE REVERSIBLE AVEC APPOINT ELEC 6KW. S/S CUVE ECS;AJTECH;UN;6491,13;
70176;;GENIE CLIMATIQUE;1325100025;PAC AIR/EAU SPLIT BAGUIO 100 TRI MODULE HYDRAUL. INTERIEUR + UNITE EXTERIEURE REVERSIBLE AVEC APPOINT ELEC 4,5KW. S/S CUVE ECS;AJTECH;UN;6578,82;
