_ID;FOURNISSEUR;FAMILLE  ;REFERENCE;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
600104;DUPONT;ROBINETS THERMOSTATIQUES MANUELS;1981371;THERMOSTATIQUE  CORPS DROIT 12X17;ALTECH;UN;9,19;6,55
600105;DUPONT;ROBINETS THERMOSTATIQUES MANUELS;1981372;THERMOSTATIQUE  CORPS DROIT 15x21                             ;ALTECH;UN;8,84;6,30
600106;DUPONT;ROBINETS THERMOSTATIQUES MANUELS;1981370;THERMOSTATIQUE CORPS EQUERRE 15x21                       ;ALTECH;UN;8,24;5,87
600107;DUPONT;BAIGNOIRES;;baignoires acryliques primeo 2 140X70;ALTERNA;UN;97,92;69,77
600108;DUPONT;BAIGNOIRES;;baignoires acryliques primeo 2 170x70;ALTERNA;UN;93,84;66,86
600109;DUPONT;BAIGNOIRES;;baignoires acryliques primeo 2150x70;ALTERNA;UN;97,92;69,77
600110;DUPONT;BAIGNOIRES;;baignoires acryliques primeo 2160x70;ALTERNA;UN;93,84;66,86
600111;DUPONT;BAIGNOIRES;;baignoires acryliques serie concerto 2 170x80;ALTERNA;UN;186,66;133,00
600112;DUPONT;BAIGNOIRES;;baignoires acryliques serie concerto 2 180x80;ALTERNA;UN;203,99;145,34
600113;DUPONT;BAIGNOIRES;;baignoires acryliques serie concerto 2140;ALTERNA;UN;132,50;94,41
600114;DUPONT;BAIGNOIRES;;baignoires acryliques serie concerto 2140X140;ALTERNA;UN;238,50;169,93
600115;DUPONT;BAIGNOIRES;;baignoires acryliques serie concerto 2160x75;ALTERNA;UN;142,80;101,75
600116;DUPONT;BAIGNOIRES;;baignoires acryliques serie concerto 2160X90;ALTERNA;UN;213,18;151,89
600117;DUPONT;BAIGNOIRES;;baignoires acryliques serie concerto 2160X90;ALTERNA;UN;213,18;151,89
600118;DUPONT;BAIGNOIRES;;baignoires acryliques serie concerto 2170x75;ALTERNA;UN;153,00;109,01
600119;DUPONT;BATI SUPPORT;;Bati autop.+pl.cde blc CONCERTO;ALTERNA;UN;153,33;109,25
600120;DUPONT;BATI SUPPORT;;Bati autoportant CONCERTO ;ALTERNA;UN;211,90;150,98
600121;DUPONT;BATI SUPPORT;;Plaque comande CONCERTO blc ;ALTERNA;UN;15,80;11,26
600122;DUPONT;BATI SUPPORT;;Plaque comande CONCERTO chr;ALTERNA;UN;26,33;18,76
600123;DUPONT;CABINE DE DOUCHE;;CONCERTO Cabine complète   80x80 Ouverture d’angle coulis. Verre transp + mitigeur;ALTERNA;UN;580,73;413,77
600124;DUPONT;CABINE DE DOUCHE;;CONCERTO Cabine complète   80x80 Ouverture de face porte piv. Verre transp + mitigeur;ALTERNA;UN;580,73;413,77
600125;DUPONT;CABINE DE DOUCHE;;CONCERTO Cabine complète   90x90 Ouverture d’angle coulis;ALTERNA;UN;629,98;448,86
600126;DUPONT;CABINE DE DOUCHE;;CONCERTO Cabine complète   90x90 Ouverture de face porte piv.;ALTERNA;UN;629,98;448,86
600127;DUPONT;CABINE DE DOUCHE;;MEZZO Cabine complète ¼ cercle    92x92 Hydromassage p.coul. v.transp;ALTERNA;UN;755,87;538,56
600128;DUPONT;CABINE DE DOUCHE;;MEZZO Cabine complète ¼ cercle  103x103 Hydromassage p.coul. v.transp;ALTERNA;UN;820,41;584,54
600129;DUPONT;CABINE DE DOUCHE;;PRIMEO Cabine complète 80X80 OLS11OD Portes coulissantes intérieures Verre transparent épaisseur 3mm;ALTERNA;UN;433,64;308,97
600130;DUPONT;CERAMIQUE;;CONCERTO Abattant double blanc;ALTERNA;UN;27,49;19,59
600131;DUPONT;CERAMIQUE;;CONCERTO Colonne Lavabo CONCERTO 2 blanc;ALTERNA;UN;25,51;18,18
600132;DUPONT;CERAMIQUE;;CONCERTO Colonne Lavabo PRIMEO 2 blanc;ALTERNA;UN;39,79;28,35
600133;DUPONT;CERAMIQUE;;CONCERTO Cuvette  WC  Susp CONCERTO 2 courte blanc;ALTERNA;UN;134,64;95,93
