_ID;FOURNISSEUR;FAMILLE  ;REFERENCE;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET;;;;;;;
500063;brossette;FACADE DE BAIGNOIRE;B10G22170;170x53,5 cm blanc;NABIS;un;26,70;19,07;;;;;;;
500064;brossette;FACADE DE BAIGNOIRE;B10G22160;160x53,5 cm blanc;NABIS;un;25,86;18,47;;;;;;;
500065;brossette;FACADE DE BAIGNOIRE;B10G22067;Retour 67X53?5 cm;NABIS;un;13,85;9,89;;;;;;;
500066;brossette;AMALFI EXTRA PLATS A ENCASTRER;7451;1/4 RD;ALLIA;un;395,11;282,22;;;;;;;
500067;brossette;AMALFI EXTRA PLATS A ENCASTRER;7451AG1;1/4 RD;ALLIA;un;435,48;311,06;;;;;;;
500068;brossette;AMALFI EXTRA PLATS A ENCASTRER;7471;RECT 120X80;ALLIA;un;410,23;293,02;;;;;;;
500069;brossette;AMALFI EXTRA PLATS A ENCASTRER;7471AG1;RECT 120X80;ALLIA;un;432,60;309,00;;;;;;;
500070;brossette;AMALFI EXTRA PLATS A ENCASTRER;7461;CARRE 100X100;ALLIA;un;380,46;271,76;;;;;;;
500071;brossette;AMALFI EXTRA PLATS A ENCASTRER;7461AG1;CARRE 100X100;ALLIA;un;397,92;284,23;;;;;;;
500072;brossette;PRIMA EXTRA PLATS A ENCASTRER;7452;1/4 RD 90X90;ALLIA;un;246,44;176,03;;;;;;;
500073;brossette;PRIMA EXTRA PLATS A ENCASTRER;7322;1/4 RD 80X80;ALLIA;un;182,97;130,69;;;;;;;
500074;brossette;PRIMA EXTRA PLATS A ENCASTRER;7372;RECT 120X80;ALLIA;un;255,23;182,31;;;;;;;
500075;brossette;PRIMA EXTRA PLATS A ENCASTRER;7362;RECT 100X80;ALLIA;un;227,84;162,74;;;;;;;
500076;brossette;PRIMA EXTRA PLATS A ENCASTRER;7362AG2;RECT 100X80;ALLIA;un;250,77;179,12;;;;;;;
500077;brossette;PRIMA EXTRA PLATS A ENCASTRER;7332;RECT 90X70;ALLIA;un;191,27;136,62;;;;;;;
500078;brossette;PRIMA EXTRA PLATS A ENCASTRER;7342;CARRE 90X90;ALLIA;un;186,00;132,86;;;;;;;
500079;brossette;PRIMA EXTRA PLATS A ENCASTRER;7342AG2;CARRE 90X90;ALLIA;un;193,23;138,02;;;;;;;
500080;brossette;PRIMA EXTRA PLATS A ENCASTRER;7312;CARRE 80X80;ALLIA;un;141,95;101,39;;;;;;;
500081;brossette;PRIMA EXTRA PLATS A ENCASTRER;7312AG2;CARRE 80X80;ALLIA;un;158,33;113,09;;;;;;;
500082;brossette;PRIMA EXTRA PLATS A ENCASTRER;7302;CARRE 70X70;ALLIA;un;80,23;57,31;;;;;;;
500083;brossette;PRIMA EXTRAT PLATS SURELEVES;7091;1/4 RD 90X90;ALLIA;un;402,00;287,14;;;;;;;
500084;brossette;PRIMA EXTRAT PLATS SURELEVES;7081;1/4 RD 80X80;ALLIA;un;325,92;232,80;;;;;;;
500085;brossette;PRIMA EXTRAT PLATS SURELEVES;7171;CARRE 90X90;ALLIA;un;349,16;249,40;;;;;;;
500086;brossette;PRIMA EXTRAT PLATS SURELEVES;7161;CARRE 80X80;ALLIA;un;181,43;129,59;;;;;;;
500087;brossette;BASTIA CLASSIQUE A ENCASTRER;7361;CARRE 90X90;ALLIA;un;146,20;104,43;;;;;;;
500088;brossette;BASTIA CLASSIQUE A ENCASTRER;7141;CARRE 80X80;ALLIA;un;91,25;65,18;;;;;;;
500089;brossette;BASTIA CLASSIQUE A ENCASTRER;7121;CARRE 70X70;ALLIA;un;72,76;51,97;;;;;;;
500090;brossette;PORQUEROLLES BASTIA A POSER;7051;1/4 RD 90X90;ALLIA;un;305,70;218,36;;;;;;;
500091;brossette;PORQUEROLLES BASTIA A POSER;7261;CARRE 90X90;ALLIA;un;149,52;106,80;;;;;;;
500092;brossette;PORQUEROLLES BASTIA A POSER;7281;CARRE 80X80;ALLIA;un;90,34;64,53;;;;;;;
500093;brossette;PORQUEROLLES BASTIA A POSER;7251;CARRE 70X70;ALLIA;un;69,50;49,64;;;;;;;
500094;brossette;ULYSSE A ENCASTRER;P327101;ULYSSE 2 CARRE 70X70;PORCHER;un;70,99;50,71;;;;;;;
500095;brossette;ULYSSE A ENCASTRER;P327201;ULYSSE 2 CARRE 80X80;PORCHER;un;89,99;64,28;;;;;;;
500096;brossette;ULYSSE A ENCASTRER;P327301;ULYSSE 2 CARRE 90X90;PORCHER;un;152,32;108,80;;;;;;;
500097;brossette;EXTRA PLATS A ENCASTRER;P378501;ANGLIA 1/4 RD 90X90;PORCHER;un;410,97;293,55;;;;;;;
500098;brossette;EXTRA PLATS A ENCASTRER;P322501;MATURA REC 100X80;PORCHER;un;321,93;229,95;;;;;;;
500099;brossette;EXTRA PLATS A ENCASTRER;P379301;UTHA RECT 100X80;PORCHER;un;429,14;306,53;;;;;;;
500100;brossette;A POSER;P327401;ULYSSE 2 CARRE 70X70;PORCHER;un;68,63;49,02;;;;;;;
500101;brossette;A POSER;P327501;ULYSSE 2 CARRE 80X80;PORCHER;un;89,99;64,28;;;;;;;
500102;brossette;A POSER;P327601;ULYSSE 2 CARRE 90X90;PORCHER;un;152,32;108,80;;;;;;;
500103;brossette;A POSER EXTRA PLATS;P379201;UTHA RECT 100X80;PORCHER;un;389,34;278,10;;;;;;;
500104;brossette;A POSER EXTRA PLATS;P378401;ANGLIA 1/4 RD 90X90;PORCHER;un;410,97;293,55;;;;;;;
500105;brossette;SURELEVES;P325601;ULYSSE CARRE 70X70;PORCHER;un;143,40;102,43;;;;;;;
500106;brossette;SURELEVES;P324601;ULYSSE CARRE 80X80;PORCHER;un;155,20;110,86;;;;;;;
500107;brossette;A ENCASTRER;;ACOMO CARRE 80X80;PORCHER;un;202,52;144,66;;;;;;;
500108;brossette;A ENCASTRER;;ACOMO CARRE 90X90;PORCHER;un;221,82;158,44;;;;;;;
500109;brossette;A ENCASTRER;;ACOMO RECT 100X80;PORCHER;un;244,02;174,30;;;;;;;
500110;brossette;A ENCASTRER;;ACOMO RECT 120X80;PORCHER;un;269,07;192,19;;;;;;;
500111;brossette;A ENCASTRER;;ACOMO 1/4 RD 90X90;PORCHER;un;250,78;179,13;;;;;;;
500112;brossette;A ENCASTRER;;ACOMO 1/4 RD 90X90;PORCHER;un;389,62;278,30;;;;;;;
500113;brossette;A POSER;;VERSEAU CARRE 70X70;PORCHER;un;67,96;48,54;;;;;;;
500114;brossette;A POSER;;VERSEAU CARRE 80X80;PORCHER;un;88,59;63,28;;;;;;;
500115;brossette;A ENCASTRER;;VERSEAU CARRE 70X70;PORCHER;un;66,21;47,29;;;;;;;
500116;brossette;A ENCASTRER;;VERSEAU CARRE 80X80;PORCHER;un;88,59;63,28;;;;;;;
500117;brossette;SUBWAY A POSER/ENCASTRER;6035;SUBWAY CARRE 80X80;VILLEROY ET BOCH;un;331,86;237,04;;;;;;;
500118;brossette;SUBWAY A POSER/ENCASTRER;6035;SUBWAY CARRE 90X90;VILLEROY ET BOCH;un;400,44;286,03;;;;;;;
500119;brossette;SUBWAY A POSER/ENCASTRER;3013;SUBWAY RECT 120X80;VILLEROY ET BOCH;un;533,97;381,41;;;;;;;
500120;brossette;SUBWAY A POSER/ENCASTRER;3036;SUBWAY 1/4 RD 90X90;VILLEROY ET BOCH;un;419,19;299,42;;;;;;;
500121;brossette;SUBWAY A POSER/ENCASTRER;6036;SUBWAY 1/4 RD 100X100;VILLEROY ET BOCH;un;461,44;329,60;;;;;;;
500122;brossette;EQUIPEMENTS DOUCHE;;Pieds réglables;VILLEROY ET BOCH;un;17,00;12,14;;;;;;;
500123;brossette;EQUIPEMENTS DOUCHE;;60 mm siphoide horiz;VILLEROY ET BOCH;un;4,89;3,49;;;;;;;
500124;brossette;EQUIPEMENTS DOUCHE;;60 mm siphoide vert;VILLEROY ET BOCH;un;4,65;3,32;;;;;;;
500125;brossette;EQUIPEMENTS DOUCHE;;60 mm turboflow horiz;VILLEROY ET BOCH;un;17,92;12,80;;;;;;;
500126;brossette;EQUIPEMENTS DOUCHE;;90 mm siphoide horiz;VILLEROY ET BOCH;un;13,94;9,96;;;;;;;
500127;brossette;EQUIPEMENTS DOUCHE;;90 mm siphoide vert;VILLEROY ET BOCH;un;15,19;10,85;;;;;;;
500128;brossette;EQUIPEMENTS DOUCHE;;90 mm turboflow horiz;VILLEROY ET BOCH;un;19,47;13,91;;;;;;;
500129;brossette;EQUIPEMENTS DOUCHE;;siphon sol inox 100V;VILLEROY ET BOCH;un;31,86;22,76;;;;;;;
500130;brossette;EQUIPEMENTS DOUCHE;sas752;180x200 HORIZ;VILLEROY ET BOCH;un;176,23;125,88;;;;;;;
500131;brossette;EQUIPEMENTS DOUCHE;290301;Solvant PVC Isotanche;VILLEROY ET BOCH;un;12,82;9,16;;;;;;;
500132;brossette;EQUIPEMENTS DOUCHE;sas753;Colle p/bonde de douche à carreler;VILLEROY ET BOCH;un;39,83;28,45;;;;;;;
500133;brossette;MELANGEUR DOUCHE BF;B9042AA;Mélangeur mural BF2;VILLEROY ET BOCH;un;31,92;22,80;;;;;;;
500134;brossette;MELANGEUR DOUCHE PORCHER;D1752AA;Mélangeur ULYSSE C ss raccords;VILLEROY ET BOCH;un;36,95;26,39;;;;;;;
500135;brossette;MELANGEUR DOUCHE PORCHER;D1652AA;Mélangeur ULYSSE ss raccords;VILLEROY ET BOCH;un;31,79;22,71;;;;;;;
500136;brossette;MITIGEUR DOUCHE BF;B8643AA;Mitigeur BF Naya ss raccords;BF;un;60,49;43,21;;;;;;;
500137;brossette;MITIGEUR DOUCHE BF;B8609AA;Mitigeur BF Livia douche;BF;un;74,03;52,88;;;;;;;
500138;brossette;MITIGEUR DOUCHE BF;23220;Mitigeur thermostatique BF ELIOS THERM;BF;un;70,95;50,68;;;;;;;
500139;brossette;MITIGEUR DOUCHE PORCHER;D1157AA;Mitigeur OLYOS2 av raccords;PORCHER;un;46,35;33,11;;;;;;;
500140;brossette;MITIGEUR DOUCHE PORCHER;D2354AA;Mitigeur OKYRIS2 av raccords;PORCHER;un;55,66;39,76;;;;;;;
500141;brossette;MITIGEUR DOUCHE PORCHER;D1254AA;Mitigeur OPHELIO;PORCHER;un;92,23;65,88;;;;;;;
500142;brossette;MITIGEUR DOUCHE PORCHER;D0355AA;Mitigeur thermostatique PRECITHERM 5000;PORCHER;un;108,15;77,25;;;;;;;
500143;brossette;MITIGEUR DOUCHE PORCHER;D0554AA;Mitigeur thermostatique PRECITHERM 4;PORCHER;un;210,25;150,18;;;;;;;
500144;brossette;MITIGEURS GROHE;32172001;Mitigeur E-SMART NEW;GROHE;un;73,07;52,19;;;;;;;
500145;brossette;MITIGEURS GROHE;32229001;Mitigeur E-STYLE NEW;GROHE;un;119,29;85,21;;;;;;;
500146;brossette;MITIGEURS GROHE;33569001;Mitigeur E-DISC NEW;GROHE;un;171,86;122,76;;;;;;;
500147;brossette;MITIGEURS GROHE;34143000;Mitigeur thermostatique GROTHERM 1000;GROHE;un;172,75;123,39;;;;;;;
500148;brossette;MITIGEURS GROHE;34169000;Mitigeur thermostatique GROTHERM 2000;GROHE;un;297,21;212,29;;;;;;;
500149;brossette;MITIGEURS GROHE;34179000;Mitigeur thermostatique GROTHERM 3000;GROHE;un;348,77;249,12;;;;;;;
