_ID;FOURNISSEUR;FAMILLE;S_FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
900048;SONEPAROUEST;RADIATEURAINERTIE;;THXP100-180LF;29004217;RADIATEURFASSANEPREMIUMDIGITAL1000W;ACOVA;1;974,10;622,55
900049;SONEPAROUEST;RADIATEURAINERTIE;;THXP125-220LF;29004221;RADIATEURFASSANEPREMIUMDIGITAL1250W;ACOVA;1;1149,74;734,80
900050;SONEPAROUEST;RADIATEURAINERTIE;;THXP125-200LF;29004220;RADIATEURFASSANEPREMIUMDIGITAL1250W;ACOVA;1;1071,00;684,47
900051;SONEPAROUEST;RADIATEURAINERTIE;;THXP150-200LF;29004223;RADIATEURFASSANEPREMIUMDIGITAL1500W;ACOVA;1;1141,99;729,84
900052;SONEPAROUEST;RADIATEURAINERTIE;;THXP150-180LF;29004222;RADIATEURFASSANEPREMIUMDIGITAL1500W;ACOVA;1;1114,86;712,50
900053;SONEPAROUEST;RADIATEURAINERTIE;;THXP150-220LF;29004224;RADIATEURFASSANEPREMIUMDIGITAL1500W;ACOVA;1;1183,40;756,31
900054;SONEPAROUEST;RADIATEURAINERTIE;;THXP200-200LF;29004225;RADIATEURFASSANEPREMIUMDIGITAL2000W;ACOVA;1;1276,22;815,63
900055;SONEPAROUEST;RADIATEURAINERTIE;;THXP200-220LF;29004226;RADIATEURFASSANEPREMIUMDIGITAL2000W;ACOVA;1;1322,02;844,90
900056;SONEPAROUEST;RADIATEURAINERTIE;;TVXD100-080LF;29004259;RADIATEURFASSANEPREMIUMDIGITAL1000WHORIZONTAL;ACOVA;1;781,32;449,41
900057;SONEPAROUEST;RADIATEURAINERTIE;;TVXD125-110LF;29004261;RADIATEURFASSANEPREMIUMDIGITAL1250WHORIZONTAL;ACOVA;1;900,15;532,98
900058;SONEPAROUEST;RADIATEURAINERTIE;;TVXD150-130LF;29004262;RADIATEURFASSANEPREMIUMDIGITAL1500WHORIZONTAL;ACOVA;1;980,02;580,26
900059;SONEPAROUEST;RADIATEURAINERTIE;;TVXD200-150LF;29004264;RADIATEURFASSANEPREMIUMDIGITAL2000WHORIZONTAL;ACOVA;1;1151,78;681,97
900060;SONEPAROUEST;RADIATEURACIERSTANDARD;;HX-200-029;29000591;RADIATEURFASSANEEC620WBLC;ACOVA;1;330,17;218,23
900061;SONEPAROUEST;RADIATEURACIERSTANDARD;;HX-200-051;29000594;RADIATEURFASSANEEC1085WBLC;ACOVA;1;485,72;321,04
900062;SONEPAROUEST;RADIATEURACIERSTANDARD;;HXD-200-044;29000600;RADIATEURFASSANEEC1350WBLC;ACOVA;1;851,09;562,53
900063;SONEPAROUEST;RADIATEURACIERSTANDARD;;HX-200-074;29000597;RADIATEURFASSANEEC1550WBLC;ACOVA;1;640,15;423,11
900064;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TSYI-050-040;29002622;RADIATEURSECHE-SERVIETTESALIZEAELECT500WLARGEUR40;ACOVA;1;879,76;581,48
900065;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TSYI-050-050;29002623;RADIATEURSECHE-SERVIETTESALIZEAELECT500WLARGEUR50;ACOVA;1;816,51;539,68
900066;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TSYI-075-050;29002624;RADIATEURSECHE-SERVIETTESALIZEAELECT750W;ACOVA;1;939,79;621,16
900067;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TSYI-100-060;29002625;RADIATEURSECHE-SERVIETTESALIZEAELECT1000W;ACOVA;1;1121,24;741,09
900068;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TSYI-125-080;29002626;RADIATEURSECHE-SERVIETTESALIZEAELECT1250W;ACOVA;1;1307,89;864,46
900069;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;SL-080-050;29232073;RADIATEURSECHE-SERVIETTESATOLLEC388WDROIT;ACOVA;1;142,53;90,02
900070;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;SL-120-050;29232076;RADIATEURSECHE-SERVIETTESATOLLEC571WDROIT;ACOVA;1;163,97;103,56
900071;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;SL-150-050;29232079;RADIATEURSECHE-SERVIETTESATOLLEC571WDROIT;ACOVA;1;195,18;123,27
900072;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;SL-150-060;29232080;RADIATEURSECHE-SERVIETTESATOLLEC839WDROIT;ACOVA;1;200,59;126,69
900073;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;SL-170-060;29232083;RADIATEURSECHE-SERVIETTESATOLLEC966WDROIT;ACOVA;1;230,14;145,35
900074;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;SL-170-075;29232210;RADIATEURSECHE-SERVIETTESATOLLEC1154WDROIT;ACOVA;1;241,89;152,77
900075;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TSL-050-050-TF;29232069;RADIATEURSECHE-SERVIETTESATOLLELECT500W;ACOVA;1;352,41;124,05
900076;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TSL-075-050-TF;29232070;RADIATEURSECHE-SERVIETTESATOLLELECT750W;ACOVA;1;368,63;134,68
900077;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TSL-100-050-TF;29232071;RADIATEURSECHE-SERVIETTESATOLLELECT1000W;ACOVA;1;434,01;191,95
900078;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;LNO-112-050-IFS;29238367;RADIATEURSECHE-SERVIETTESCALA+AIREC402+1000WCHROME;ACOVA;1;1275,89;853,23
