_ID;FOURNISSEUR;FAMILLE  ;REFERENCE;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
600121;dupont;BATI SUPPORT;;Plaque comande CONCERTO blc ;ALTERNA;UN;15,8;11,26
600122;dupont;BATI SUPPORT;;Plaque comande CONCERTO chr;ALTERNA;UN;26,33;18,76
600123;dupont;CABINE DE DOUCHE;;CONCERTO Cabine complète   80x80 Ouverture d’angle coulis. Verre transp + mitigeur;ALTERNA;UN;580,73;413,77
600124;dupont;CABINE DE DOUCHE;;CONCERTO Cabine complète   80x80 Ouverture de face porte piv. Verre transp + mitigeur;ALTERNA;UN;580,73;413,77
600125;dupont;CABINE DE DOUCHE;;CONCERTO Cabine complète   90x90 Ouverture d’angle coulis;ALTERNA;UN;629,98;448,86
600126;dupont;CABINE DE DOUCHE;;CONCERTO Cabine complète   90x90 Ouverture de face porte piv.;ALTERNA;UN;629,98;448,86
600127;dupont;CABINE DE DOUCHE;;MEZZO Cabine complète ¼ cercle    92x92 Hydromassage p.coul. v.transp;ALTERNA;UN;755,87;538,56
600128;dupont;CABINE DE DOUCHE;;MEZZO Cabine complète ¼ cercle  103x103 Hydromassage p.coul. v.transp;ALTERNA;UN;820,41;584,54
600129;dupont;CABINE DE DOUCHE;;PRIMEO Cabine complète 80X80 OLS11OD Portes coulissantes intérieures Verre transparent épaisseur 3mm;ALTERNA;UN;433,64;308,97
600130;dupont;CERAMIQUE;;CONCERTO Abattant double blanc;ALTERNA;UN;27,49;19,59
600131;dupont;CERAMIQUE;;CONCERTO Colonne Lavabo CONCERTO 2 blanc;ALTERNA;UN;25,51;18,18
600132;dupont;CERAMIQUE;;CONCERTO Colonne Lavabo PRIMEO 2 blanc;ALTERNA;UN;39,79;28,35
600133;dupont;CERAMIQUE;;CONCERTO Cuvette  WC  Susp CONCERTO 2 courte blanc;ALTERNA;UN;134,64;95,93
600134;dupont;CERAMIQUE;;CONCERTO Cuvette  WC  Suspendue CONCERTO 2  blanc;ALTERNA;UN;134,64;95,93
600135;dupont;CERAMIQUE;;CONCERTO Lavabo  60x46 CONCERTO 2 blanc;ALTERNA;UN;17,35;12,36
600136;dupont;CERAMIQUE;;CONCERTO Lavabo  60x47 PRIMEO 2 blanc;ALTERNA;UN;27,55;19,63
600137;dupont;CERAMIQUE;;CONCERTO Lave main 40/33 blanc;ALTERNA;UN;53,04;37,79
600138;dupont;CERAMIQUE;;CONCERTO Lave main 47/36 blanc;ALTERNA;UN;53,04;37,79
600139;dupont;CERAMIQUE;;CONCERTO Lave main 50/23 blanc;ALTERNA;UN;47,6;33,92
600140;dupont;CERAMIQUE;;CONCERTO Pack CONCERTO 2 WC SH blanc;ALTERNA;UN;132;94,05
600141;dupont;CERAMIQUE;;CONCERTO Vasque à poser Quadra blanc 42/44 ss tp;ALTERNA;UN;145,33;103,55
600142;dupont;CERAMIQUE;;CONCERTO Vasque à poser Quadra blanc 50/48 av tp;ALTERNA;UN;106,66;80
600143;dupont;CERAMIQUE;;CONCERTO Vasque Bol  D 40 ss plage de rob blanc;ALTERNA;UN;78,66;56,05
600144;dupont;CERAMIQUE;;CONCERTO Vasque CONCERTO 55/45,50 blanc;ALTERNA;UN;47,6;33,92
600145;dupont;CERAMIQUE;;CONCERTO Vasque PRIMEO 2 54x43 blanc;ALTERNA;UN;30;21,38
600146;dupont;CERAMIQUE;;CONCERTOLave main angle blanc;ALTERNA;UN;61,2;43,61
600147;dupont;CERAMIQUE;;Pack CONCERTO 2 Surélevé WC SH blanc;ALTERNA;UN;213,18;151,89
