_ID;FOURNISSEUR;FAMILLE;SOUS_FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
200837;Socolec;SECURITECOMMUNICATION;;6301035;00050301036;CAPTEURDEDEBIT/TEMPERATUREDN20POURTYWATT5200OU5300;DELTADORE;UN;126,21;48,49
200838;Socolec;SECURITECOMMUNICATION;;6301036;00050301037;CAPTEURDEDEBIT/TEMPERATUREDN25POURTYWATT5200OU5300;DELTADORE;UN;134,68;49,62
200839;Socolec;SECURITECOMMUNICATION;;6100005;X;DELESTEURT10C2;DELTADORE;UN;;
200840;Socolec;SECURITECOMMUNICATION;;6110028;00050110028;EMETTEURRADIODEBIMETREEAUTYWATT5300;DELTADORE;UN;208,62;79,28
200841;Socolec;SECURITECOMMUNICATION;;6110029;00050110029;EMETTEURRADIOPOURCOMPTEURGAZTYWATT5100;DELTADORE;UN;129,81;47,82
200842;Socolec;SECURITECOMMUNICATION;;6051100;00050051100;GESTIONNAIRED'ENERGIESTARBOXF38ZONESX2D;DELTADORE;UN;1145,31;470,18
200843;Socolec;SECURITECOMMUNICATION;;6050604;00050050604;GESTIONNAIRED'ENERGIE2ZONESPOURCHAUFFAGEEAUCHAUDE+GESTIONDESOCCULTANTSTYBOX2020WT;DELTADORE;UN;1139,42;432,98
200844;Socolec;SECURITECOMMUNICATION;;6050434;X;GESTIONNAIRED'ENERGIEJOURNALIERCALYBOX101ZONEPROG.FIG…E;DELTADORE;UN;;
200845;Socolec;SECURITECOMMUNICATION;;6050562;00050050562;GESTIONNAIRED'ENERGIEPACKDRIVER620RADIO/FP2ZONESX2DRADIOAVEC5RECEPTEURS;DELTADORE;UN;;
200846;Socolec;SECURITECOMMUNICATION;;6110014;X;INDICATEURDECONSOMMATIONTYWATT500POURNOUVEAUPACKLABELCALYBOX;DELTADORE;UN;;
