_ID;FOURNISSEUR;FAMILLE  ;REFERENCE;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET;;;
200025;CDL;FILS ET CABLES;250138;RO2V 5 G 4;;CE;311,728;194,83;;;
200026;CDL;FILS ET CABLES;250950;RO2V 5 G 6;;CE;456,592;285,37;;;
200027;CDL;FILS ET CABLES;250951;RO2V 5 G 10;;CE;755,232;472,02;;;
200028;CDL;FILS ET CABLES;250460;RO2V 5 G 16;;CE;1167,392;729,62;;;
200029;CDL;FILS ET CABLES;250464;RO2V 7 G 1,5;;CE;214,352;133,97;;;
200030;CDL;FILS ET CABLES;251119;RO2V 4 X 10 SVJ;;CE;608,928;380,58;;;
200031;CDL;FILS ET CABLES;250209;RO2V 4 X 16 SVJ;;CE;933,2;583,25;;;
200032;CDL;FILS ET CABLES;250909;RO2V 4 X 25 SVJ;;CE;1455,744;909,84;;;
200033;CDL;FILS ET CABLES;250908;RO2V 4 X 35 SVJ;;CE;2041,44;1275,9;;;
200034;CDL;FILS ET CABLES;neant;RO2V 2 X 1,5;;CE;0;0;;;
200035;CDL;FILS ET CABLES;neant;RO2V 2 X 2,5;;CE;0;0;;;
200036;CDL;FILS ET CABLES;neant;RO2V 2 X 4;;CE;0;0;;;
200037;CDL;FILS ET CABLES;neant;RO2V 2 X 6;;CE;0;0;;;
200038;CDL;FILS ET CABLES;neant;RO2V 2 X 10;;CE;0;0;;;
200039;CDL;FILS ET CABLES;neant;RO2V 2 X 16;;CE;0;0;;;
200040;CDL;FILS ET CABLES;neant;RO2V 2 X 25;;CE;0;0;;;
200041;CDL;FILS ET CABLES;neant;RO2V 2 X 35;;CE;0;0;;;
200042;CDL;FILS ET CABLES;neant;RO2V 3 G 1,5;;CE;0;0;;;
200043;CDL;FILS ET CABLES;neant;RO2V 3 G 2,5;;CE;0;0;;;
200044;CDL;FILS ET CABLES;neant;RO2V 3 G 4;;CE;0;0;;;
200045;CDL;FILS ET CABLES;neant;RO2V 3 G 6;;CE;0;0;;;
200046;CDL;FILS ET CABLES;neant;RO2V 3 G 10;;CE;0;0;;;
200047;CDL;FILS ET CABLES;neant;RO2V 3 G 16;;CE;0;0;;;
200048;CDL;FILS ET CABLES;neant;RO2V 3 G 25;;CE;0;0;;;
200049;CDL;FILS ET CABLES;neant;RO2V 4 G 1,5;;CE;0;0;;;
200050;CDL;FILS ET CABLES;neant;RO2V 4 G 2,5;;CE;0;0;;;
200051;CDL;FILS ET CABLES;neant;RO2V 4 G 4;;CE;0;0;;;
200052;CDL;FILS ET CABLES;neant;RO2V 4 G 6;;CE;0;0;;;
200053;CDL;FILS ET CABLES;neant;RO2V 4 G 10;;CE;0;0;;;
200054;CDL;FILS ET CABLES;neant;RO2V 4 G 16;;CE;0;0;;;
200055;CDL;FILS ET CABLES;neant;RO2V 4 G 25;;CE;0;0;;;
200056;CDL;FILS ET CABLES;neant;RO2V 4 G 35;;CE;0;0;;;
200057;CDL;FILS ET CABLES;neant;RO2V 5 G 1,5;;CE;0;0;;;
200058;CDL;FILS ET CABLES;neant;RO2V 5 G 2,5;;CE;0;0;;;
200059;CDL;FILS ET CABLES;neant;RO2V 5 G 4;;CE;0;0;;;
200060;CDL;FILS ET CABLES;neant;RO2V 5 G 6;;CE;0;0;;;
200061;CDL;FILS ET CABLES;neant;RO2V 5 G 10;;CE;0;0;;;
200062;CDL;FILS ET CABLES;neant;RO2V 5 G 16;;CE;0;0;;;
200063;CDL;FILS ET CABLES;neant;RO2V 7 G 1,5;;CE;0;0;;;
200064;CDL;FILS ET CABLES;neant;RO2V 4 X 10 SVJ;;CE;0;0;;;
200065;CDL;FILS ET CABLES;neant;RO2V 4 X 16 SVJ;;CE;0;0;;;
200066;CDL;FILS ET CABLES;neant;RO2V 4 X 25 SVJ;;CE;0;0;;;
200067;CDL;FILS ET CABLES;neant;RO2V 4 X 35 SVJ;;CE;0;0;;;
200068;CDL;FILS ET CABLES;neant;3 G 1,5;;CE;0;0;;;
200069;CDL;FILS ET CABLES;neant;4 G 1,5;;CE;0;0;;;
200070;CDL;FILS ET CABLES;neant;2 X 1,5 ;;CE;0;0;;;
200071;CDL;FILS ET CABLES;neant;2 P 0,5;;CE;0;0;;;
200072;CDL;FILS ET CABLES;neant;2 P 0,75;;CE;0;0;;;
200073;CDL;FILS ET CABLES;neant;3 P 0,5;;CE;0;0;;;
200074;CDL;FILS ET CABLES;neant;3 P 0,75;;CE;0;0;;;
200075;CDL;FILS ET CABLES;neant;4 P 0,5;;CE;0;0;;;
200076;CDL;FILS ET CABLES;neant;4 P 0,75;;CE;0;0;;;
200077;CDL;FILS ET CABLES;250400;Blindé 2 P 0,6 (4x0,6);;CE;111,36;69,6;;;
200078;CDL;FILS ET CABLES;250401;Non Blindé 2 P 0,6 (4x0,6);;CE;44,16;27,6;;;
200079;CDL;FILS ET CABLES;251239;GRADE 1   4 P 0,5;;CE;55,792;34,87;;;
200080;CDL;FILS ET CABLES;202986;Gr3 - 900 Mhz - 1 à 10Gb/s  pour RJ45 ;;CE;122,512;76,57;;;
200081;CDL;FILS ET CABLES;250389;1 P 9/10è ( AWG20);;CE;35,68;22,3;;;
200082;CDL;FILS ET CABLES;250390;2 P 9/10è( AWG20);;CE;58,96;36,85;;;
200083;CDL;FILS ET CABLES;250391;3 P 9/10è( AWG20);;CE;90,864;56,79;;;
200084;CDL;FILS ET CABLES;250392;5 P 9/10è ( AWG20);;CE;142,448;89,03;;;
200085;CDL;FILS ET CABLES;250440;10 P 9/10è ( AWG20);;CE;299,232;187,02;;;
200086;CDL;FILS ET CABLES;202980;Coaxial blanc 17 VATC;;CE;31,872;19,92;;;
200087;CDL;FILS ET CABLES;neant;Gr3 - 900 Mhz - 1 à 10Gb/s  pour RJ45 ;;CE;0;0;;;
200088;CDL;FILS ET CABLES;251017;HO7 RNF 3 G 2,5;;CE;196,752;122,97;;;
200089;CDL;FILS ET CABLES;250513;HO7 RNF 5 G 2,5;;CE;324,256;202,66;;;
200090;CDL;FILS ET CABLES;250471;HO7 RNF 3 G 1,5;;CE;130,88;81,8;;;
200091;CDL;FILS ET CABLES;250512;HO7 RNF 5 G 1,5;;CE;214,272;133,92;;;
200092;CDL;FILS ET CABLES;250473;HO7 RNF 3 G 4;;CE;367,008;229,38;;;
200093;CDL;FILS ET CABLES;250488;HO7 RNF 5 G 4;;CE;590,624;369,14;;;
200094;CDL;FILS ET CABLES;250474;HO7 RNF 3 G 6;;CE;503,408;314,63;;;
200095;CDL;FILS ET CABLES;250490;HO7 RNF 5 G 6;;CE;830,56;519,1;;;
200096;CDL;FILS ET CABLES;201690;CANAL ICTA 16 janoplast;;CE;36,48;22,8;;;
200097;CDL;FILS ET CABLES;201691;CANAL ICTA 20 janoplas;;CE;39,68;24,8;;;
200098;CDL;FILS ET CABLES;201692;CANAL ICTA 25 janoplast;;CE;67,2;42;;;
200099;CDL;FILS ET CABLES;201464;CANAL ICTA 32 janoplast;;CE;108,8;68;;;
200100;CDL;FILS ET CABLES;201465;CANAL ICTA 40 janoplast;;CE;212,48;132,8;;;
200101;CDL;FILS ET CABLES;916498;Lubrifiant Yellow      1 litre;;CE;16,144;10,09;;;
200102;CDL;FILS ET CABLES;201611;CANAL ICA 16;;CE;24,96;15,6;;;
200103;CDL;FILS ET CABLES;201612;CANAL ICA 20;;CE;30,96;19,35;;;
200104;CDL;FILS ET CABLES;201613;CANAL ICA 25;;CE;52,448;32,78;;;
200105;CDL;FILS ET CABLES;201136;TUBE IRL 16;;CE;34,88;21,8;;;
200106;CDL;FILS ET CABLES;201137;TUBE IRL 20;;CE;44,032;27,52;;;
200107;CDL;FILS ET CABLES;201138;TUBE IRL 25;;CE;67,088;41,93;;;
200108;CDL;FILS ET CABLES;201139;TUBE IRL 32;;CE;92,896;58,06;;;
200109;CDL;FILS ET CABLES;neant;17 Vatca;;CE;0;0;;;
200110;CDL;FILS ET CABLES;neant;21 Vatca;;CE;0;0;;;
200111;CDL;FILS ET CABLES;neant;298 - 4 P0,5;;CE;0;0;;;
200112;CDL;FILS ET CABLES;250331;CUIVRE NU;;CE;363,696;227,31;;;
200113;CDL;FILS ET CABLES;250005;H07 VU 1,5;;CE;20,224;12,64;;;
200114;CDL;FILS ET CABLES;250040;HO7 VU 2,5;;CE;33,12;20,7;;;
200115;CDL;FILS ET CABLES;250070;HO7 VR6;;CE;86,384;53,99;;;
200116;CDL;FILS ET CABLES;250085;HO7 VR10;;CE;151,744;94,84;;;
200117;CDL;FILS ET CABLES;250002;H07 VR16;;CE;230,8;144,25;;;
200118;CDL;FILS ET CABLES;250019;H07 VR25;;CE;386,4;241,5;;;
200119;CDL;FILS ET CABLES;250244;H05 VVF2*0,75;;CE;52,272;32,67;;;
200120;CDL;FILS ET CABLES;250248;H05 VVF2*1;;CE;61,904;38,69;;;
200121;CDL;FILS ET CABLES;250250;H05 VVF 2*1,5;;CE;74,128;46,33;;;
200122;CDL;FILS ET CABLES;250252;H05 VVF 2*2,5;;CE;116,896;73,06;;;
