_ID;FOURNISSEUR;FAMILLE;SOUS_FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
900084;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;1N20;12110052;COUDENOIRMFN'1DE20/27;VALFITGROUPESAS;UNITE;7,91;0
900085;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;1N26;12110060;COUDENOIRMFN'1DE26/34;VALFITGROUPESAS;UNITE;10,66;0
900086;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;1N33;12110078;COUDENOIRMFN'1DE33/42;VALFITGROUPESAS;UNITE;18,81;0
900087;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;1N40;12110086;COUDENOIRMFN'1DE40/49;VALFITGROUPESAS;UNITE;24,3;0
900088;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;1N50;12110094;COUDENOIRMFN'1DE50/60;VALFITGROUPESAS;UNITE;40,22;0
900089;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;1N66;12110110;COUDENOIRMFN'1DE66/76;VALFITGROUPESAS;UNITE;87,71;0
900090;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;1N80;12110128;COUDENOIRMFN'1DE80/90;VALFITGROUPESAS;UNITE;113,59;0
900091;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;2N8;12110151;COUDENOIRFFN'2DE8/13;VALFITGROUPESAS;UNITE;8,55;0
900092;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;2N12;12110169;COUDENOIRFFN'2DE12/17;VALFITGROUPESAS;UNITE;4,94;0
900093;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;2N15;12110177;COUDENOIRFFN'2DE15/21;VALFITGROUPESAS;UNITE;5,25;0
900094;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;2N20;12110185;COUDENOIRFFN'2DE20/27;VALFITGROUPESAS;UNITE;8,07;0
900095;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;2N26;12110193;COUDENOIRFFN'2DE26/34;VALFITGROUPESAS;UNITE;10,66;0
900096;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;2N33;12110201;COUDENOIRFFN'2DE33/42;VALFITGROUPESAS;UNITE;18,9;0
900097;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;2N40;12110219;COUDENOIRFFN'2DE40/49;VALFITGROUPESAS;UNITE;23,29;0
900098;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;2N50;12110227;COUDENOIRFFN'2DE50/60;VALFITGROUPESAS;UNITE;32,14;0
