_ID;FOURNISSEUR;FAMILLE  ;REFERENCE;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
170815;CDL;FILS ET CABLES;neant;RO2V 4 G 35;neant;CE;;
170816;CDL;FILS ET CABLES;250201;RO2V 5 G 1,5;neant;CE;144;71,97
170817;CDL;FILS ET CABLES;250203;RO2V 5 G 2,5;neant;CE;217;108,44
170818;CDL;FILS ET CABLES;250138;RO2V 5 G 4;neant;CE;333;166,50
170819;CDL;FILS ET CABLES;250950;RO2V 5 G 6;neant;CE;498;248,87
170820;CDL;FILS ET CABLES;250951;RO2V 5 G 10;neant;CE;837;418,67
170821;CDL;FILS ET CABLES;250460;RO2V 5 G 16;neant;CE;1275;637,26
170822;CDL;FILS ET CABLES;250464;RO2V 7 G 1,5;neant;CE;247;123,33
170823;CDL;FILS ET CABLES;251119;RO2V 4 X 10 SVJ;neant;CE;490;245,21
170824;CDL;FILS ET CABLES;250209;RO2V 4 X 16 SVJ;neant;CE;1061;530,59
170825;CDL;FILS ET CABLES;250909;RO2V 4 X 25 SVJ;neant;CE;1679;839,33
170826;CDL;FILS ET CABLES;250908;RO2V 4 X 35 SVJ;neant;CE;2323;1161,61
170827;CDL;FILS ET CABLES;neant;RO2V 2 X 1,5;neant;CE;;
170828;CDL;FILS ET CABLES;neant;RO2V 2 X 2,5;neant;CE;;
170829;CDL;FILS ET CABLES;neant;RO2V 2 X 4;neant;CE;;
170830;CDL;FILS ET CABLES;neant;RO2V 2 X 6;neant;CE;;
170831;CDL;FILS ET CABLES;neant;RO2V 2 X 10;neant;CE;;
170832;CDL;FILS ET CABLES;neant;RO2V 2 X 16;neant;CE;;
170833;CDL;FILS ET CABLES;neant;RO2V 2 X 25;neant;CE;;
170834;CDL;FILS ET CABLES;neant;RO2V 2 X 35;neant;CE;;
170835;CDL;FILS ET CABLES;neant;RO2V 3 G 1,5;neant;CE;;
170836;CDL;FILS ET CABLES;neant;RO2V 3 G 2,5;neant;CE;;
170837;CDL;FILS ET CABLES;neant;RO2V 3 G 4;neant;CE;;
170838;CDL;FILS ET CABLES;neant;RO2V 3 G 6;neant;CE;;
170839;CDL;FILS ET CABLES;neant;RO2V 3 G 10;neant;CE;;
170840;CDL;FILS ET CABLES;neant;RO2V 3 G 16;neant;CE;;
170841;CDL;FILS ET CABLES;neant;RO2V 3 G 25;neant;CE;;
170842;CDL;FILS ET CABLES;neant;RO2V 4 G 1,5;neant;CE;;
170843;CDL;FILS ET CABLES;neant;RO2V 4 G 2,5;neant;CE;;
170844;CDL;FILS ET CABLES;neant;RO2V 4 G 4;neant;CE;;
170845;CDL;FILS ET CABLES;neant;RO2V 4 G 6;neant;CE;;
170846;CDL;FILS ET CABLES;neant;RO2V 4 G 10;neant;CE;;
170847;CDL;FILS ET CABLES;neant;RO2V 4 G 16;neant;CE;;
170848;CDL;FILS ET CABLES;neant;RO2V 4 G 25;neant;CE;;
170849;CDL;FILS ET CABLES;neant;RO2V 4 G 35;neant;CE;;
