ID;FOURNISSEUR;FAMILLE;REFERENCE;DESIGNATION;MARQUE;prix au;PRIX DE BASE;PRIX NET;;;;
70058;CDL;GENIE CLIMATIQUE;THXP100 - 180;RADIATEUR FASSANE  PREMIUM  1000 W;ACOVA                          ;UN;824;465,96;;;;
70059;CDL;GENIE CLIMATIQUE;THXP125 - 200;RADIATEUR FASSANE  PREMIUM  1250 W;ACOVA                          ;UN;906;521,36;;;;
70060;CDL;GENIE CLIMATIQUE;THXP125 - 220;RADIATEUR FASSANE  PREMIUM  1250 W;ACOVA                          ;UN;972;559,64;;;;
70061;CDL;GENIE CLIMATIQUE;THXP150 - 180;RADIATEUR FASSANE  PREMIUM  1500 W;ACOVA                          ;UN;943;542,63;;;;
70062;CDL;GENIE CLIMATIQUE;THXP150 - 220;RADIATEUR FASSANE  PREMIUM  1500 W;ACOVA                          ;UN;1001;576,22;;;;
70063;CDL;GENIE CLIMATIQUE;THXP150 - 200;RADIATEUR FASSANE  PREMIUM  1500 W;ACOVA                          ;UN;966;556,24;;;;
70064;CDL;GENIE CLIMATIQUE;THXP200 - 220;RADIATEUR FASSANE  PREMIUM  2000 W;ACOVA                          ;UN;1118;643,84;;;;
70065;CDL;GENIE CLIMATIQUE;THXP200 - 200;RADIATEUR FASSANE  PREMIUM  2000 W;ACOVA                          ;UN;1079;621,30;;;;
70066;CDL;GENIE CLIMATIQUE;TSL-050-050;RADIATEUR SECHE-SERVIETTES  ATOLL ELECT  500W;ACOVA                          ;UN;300;134,02;;;;
70067;CDL;GENIE CLIMATIQUE;TSL-075-050;RADIATEUR SECHE-SERVIETTES  ATOLL ELECT  750W;ACOVA                          ;UN;313;156,70;;;;
70068;CDL;GENIE CLIMATIQUE;TSL-100-050;RADIATEUR SECHE-SERVIETTES  ATOLL ELECT 1000W;ACOVA                          ;UN;369;190,72;;;;
70069;CDL;GENIE CLIMATIQUE;TLN-050-050;RADIATEUR SECHE-SERVIETTES  CALA  ELECT 500W;ACOVA                          ;UN;394;226,66;;;;
70070;CDL;GENIE CLIMATIQUE;TLN-075-050;RADIATEUR SECHE-SERVIETTES  CALA ELECT  750W;ACOVA                          ;UN;428;246,22;;;;
70071;CDL;GENIE CLIMATIQUE;TLN-100-050;RADIATEUR SECHE-SERVIETTES  CALA ELECT 1000W;ACOVA                          ;UN;494;284,49;;;;
70072;CDL;GENIE CLIMATIQUE;TSXP-050-050;RADIATEUR SECHE-SERVIETTES  REGATE  PREMIUM 500W;ACOVA                          ;UN;602;365,48;;;;
70073;CDL;GENIE CLIMATIQUE;TSXP-075-050;RADIATEUR SECHE-SERVIETTES  REGATE  PREMIUM 750W;ACOVA                          ;UN;686;416,16;;;;
70074;CDL;GENIE CLIMATIQUE;TSXP-100-050;RADIATEUR SECHE-SERVIETTES  REGATE PREMIUM 1000W;ACOVA                          ;UN;795;482,54;;;;
70075;CDL;GENIE CLIMATIQUE;TSXP-125-060;RADIATEUR SECHE-SERVIETTES  REGATE PREMIUM 1250W;ACOVA                          ;UN;911;553,39;;;;
70076;CDL;GENIE CLIMATIQUE;TSXP-150-080;RADIATEUR SECHE-SERVIETTES  REGATE PREMIUM 1500W;ACOVA                          ;UN;994;603,16;;;;
70077;CDL;GENIE CLIMATIQUE;TAQ-050-052;RADIATEUR TAÏGA EVOLUTION  500 W;ACOVA                          ;UN;458;259,70;;;;
70078;CDL;GENIE CLIMATIQUE;TAQ-075-060;RADIATEUR TAÏGA EVOLUTION  750 W;ACOVA                          ;UN;495;280,28;;;;
70079;CDL;GENIE CLIMATIQUE;TAQ-100-076;RADIATEUR TAÏGA EVOLUTION 1000 W;ACOVA                          ;UN;532;291,80;;;;
70080;CDL;GENIE CLIMATIQUE;TAQ-125-084;RADIATEUR TAÏGA EVOLUTION 1250 W;ACOVA                          ;UN;584;319,98;;;;
70081;CDL;GENIE CLIMATIQUE;TAQ-150-100;RADIATEUR TAÏGA EVOLUTION 1500 W;ACOVA                          ;UN;661;362,27;;;;
70082;CDL;GENIE CLIMATIQUE;TAQ-200-123;RADIATEUR TAÏGA EVOLUTION 2000 W;ACOVA                          ;UN;758;429,42;;;;
70083;CDL;GENIE CLIMATIQUE;TMC06-050-053;RADIATEUR VUELTA TMC   500 W;ACOVA                          ;UN;481;292,39;;;;
70084;CDL;GENIE CLIMATIQUE;TMC06-075-062;RADIATEUR VUELTA TMC   750W;ACOVA                          ;UN;570;346,21;;;;
70085;CDL;GENIE CLIMATIQUE;TMC06-100-076;RADIATEUR VUELTA TMC 1000 W;ACOVA                          ;UN;623;378,49;;;;
70086;CDL;GENIE CLIMATIQUE;TMC06-125-090;RADIATEUR VUELTA TMC 1250 W;ACOVA                          ;UN;738;448,45;;;;
70087;CDL;GENIE CLIMATIQUE;TMC06-150-104;RADIATEUR VUELTA TMC 1500 W;ACOVA                          ;UN;801;486,12;;;;
70088;CDL;GENIE CLIMATIQUE;TMC06-200-131;RADIATEUR VUELTA TMC 2000 W;ACOVA                          ;UN;976;592,40;;;;
70089;CDL;GENIE CLIMATIQUE;TAX-050-037;RADIATEUR ATOLL  500 W;ACOVA                          ;UN;272;148,02;;;;
70090;CDL;GENIE CLIMATIQUE;TAX-075-045;RADIATEUR ATOLL  750 W;ACOVA                          ;UN;296;161,36;;;;
70091;CDL;GENIE CLIMATIQUE;TAX-100-061;RADIATEUR ATOLL  1000 W;ACOVA                          ;UN;347;180,92;;;;
70092;CDL;GENIE CLIMATIQUE;TAX-125-077;RADIATEUR ATOLL  1250 W;ACOVA                          ;UN;388;202,23;;;;
70093;CDL;GENIE CLIMATIQUE;TAX-150-093;RADIATEUR ATOLL  1500 W;ACOVA                          ;UN;439;228,86;;;;
70094;CDL;GENIE CLIMATIQUE;TAX-200-125;RADIATEUR ATOLL  2000 W;ACOVA                          ;UN;541;294,89;;;;
70095;CDL;APPAREILLAGE;81245;DISJONCTEUR DE BRANCHT TYPE EDF 15/45 - 500 MA;ACTARIS;UN;39;26,76;;;;
70096;CDL;APPAREILLAGE;82245;DISJONCTEUR DE BRANCHT TYPE EDF 15/45 - 500 MA  SELECTIF;ACTARIS;UN;58;39,68;;;;
70097;CDL;APPAREILLAGE;81260;DISJONCTEUR DE BRANCHT TYPE EDF 30/60 - 500 MA;ACTARIS;UN;67;46,02;;;;
70098;CDL;APPAREILLAGE;82260;DISJONCTEUR DE BRANCHT TYPE EDF 30/60 - 500 MA  SELECTIF;ACTARIS;UN;86;59,48;;;;
70099;CDL;GENIE CLIMATIQUE;A690182;RADIATEUR CHALEUR DOUCE AIREDOU  750 HORIZONTAL;AIRELEC;UN;533;367,91;;;;
70100;CDL;GENIE CLIMATIQUE;A690183;RADIATEUR CHALEUR DOUCE AIREDOU 1000 HORIZONTAL;AIRELEC;UN;576;397,50;;;;
70101;CDL;GENIE CLIMATIQUE;A690193;RADIATEUR CHALEUR DOUCE AIREDOU 1000 VERTICAL;AIRELEC;UN;604;416,59;;;;
70102;CDL;GENIE CLIMATIQUE;A690184;RADIATEUR CHALEUR DOUCE AIREDOU 1250 HORIZONTAL;AIRELEC;UN;642;442,48;;;;
70103;CDL;GENIE CLIMATIQUE;A690185;RADIATEUR CHALEUR DOUCE AIREDOU 1500 HORIZONTAL;AIRELEC;UN;693;478,23;;;;
70104;CDL;GENIE CLIMATIQUE;A690195;RADIATEUR CHALEUR DOUCE AIREDOU 1500 VERTICAL;AIRELEC;UN;786;542,31;;;;
70105;CDL;GENIE CLIMATIQUE;A690187;RADIATEUR CHALEUR DOUCE AIREDOU 2000 HORIZONTAL;AIRELEC;UN;800;551,96;;;;
70106;CDL;GENIE CLIMATIQUE;A690197;RADIATEUR CHALEUR DOUCE AIREDOU 2000 VERTICAL;AIRELEC;UN;920;634,76;;;;
70107;CDL;GENIE CLIMATIQUE;A 689032;RADIATEUR CHALEUR DOUCE FONTEA  750 HORIZONTAL;AIRELEC;UN;461;317,98;;;;
70108;CDL;GENIE CLIMATIQUE;A 689033;RADIATEUR CHALEUR DOUCE FONTEA 1000 HORIZONTAL;AIRELEC;UN;492;339,50;;;;
70109;CDL;GENIE CLIMATIQUE;A689153;RADIATEUR CHALEUR DOUCE FONTEA 1000 VERTICAL;AIRELEC;UN;560;386,42;;;;
70110;CDL;GENIE CLIMATIQUE;A 689034;RADIATEUR CHALEUR DOUCE FONTEA 1250 HORIZONTAL;AIRELEC;UN;536;369,87;;;;
70111;CDL;GENIE CLIMATIQUE;A689035;RADIATEUR CHALEUR DOUCE FONTEA 1500 HORIZONTAL;AIRELEC;UN;576;396,92;;;;
70112;CDL;GENIE CLIMATIQUE;A689155;RADIATEUR CHALEUR DOUCE FONTEA 1500 VERTICAL;AIRELEC;UN;616;424,52;;;;
70113;CDL;GENIE CLIMATIQUE;A689037;RADIATEUR CHALEUR DOUCE FONTEA 2000 HORIZONTAL;AIRELEC;UN;704;485,20;;;;
70114;CDL;GENIE CLIMATIQUE;A689157;RADIATEUR CHALEUR DOUCE FONTEA 2000 VERTICAL;AIRELEC;UN;702;484,14;;;;
70115;CDL;GENIE CLIMATIQUE;A689092;RADIATEUR CHALEUR DOUCE INTEGRALE INOVA CDI  750W;AIRELEC;UN;391;269,98;;;;
70116;CDL;GENIE CLIMATIQUE;A689093;RADIATEUR CHALEUR DOUCE INTEGRALE INOVA CDI 1000W;AIRELEC;UN;427;294,42;;;;
70117;CDL;GENIE CLIMATIQUE;A689094;RADIATEUR CHALEUR DOUCE INTEGRALE INOVA CDI 1250W;AIRELEC;UN;473;326,01;;;;
70118;CDL;GENIE CLIMATIQUE;A689095;RADIATEUR CHALEUR DOUCE INTEGRALE INOVA CDI 1500W;AIRELEC;UN;521;359,11;;;;
70119;CDL;GENIE CLIMATIQUE;A689097;RADIATEUR CHALEUR DOUCE INTEGRALE INOVA CDI 2000W;AIRELEC;UN;583;402,08;;;;
70120;CDL;GENIE CLIMATIQUE;A690662;RADIATEUR CHALEUR DOUCE INTEGRALE STYL'FONTE  750W;AIRELEC;UN;533;367,88;;;;
70121;CDL;GENIE CLIMATIQUE;A690663;RADIATEUR CHALEUR DOUCE INTEGRALE STYL'FONTE 1000W;AIRELEC;UN;576;397,53;;;;
70122;CDL;GENIE CLIMATIQUE;A690664;RADIATEUR CHALEUR DOUCE INTEGRALE STYL'FONTE 1250W;AIRELEC;UN;642;442,51;;;;
70123;CDL;GENIE CLIMATIQUE;A690665;RADIATEUR CHALEUR DOUCE INTEGRALE STYL'FONTE 1500W;AIRELEC;UN;695;478,97;;;;
70124;CDL;GENIE CLIMATIQUE;A690667;RADIATEUR CHALEUR DOUCE INTEGRALE STYL'FONTE 2000W;AIRELEC;UN;804;554,64;;;;
70125;CDL;GENIE CLIMATIQUE;A688251;RADIATEUR CLASSIQUE TACTIC 6 ORDRES  500 W;AIRELEC;UN;66;45,20;;;;
70126;CDL;GENIE CLIMATIQUE;A688252;RADIATEUR CLASSIQUE TACTIC 6 ORDRES  750 W;AIRELEC;UN;67;46,07;;;;
70127;CDL;GENIE CLIMATIQUE;A688253;RADIATEUR CLASSIQUE TACTIC 6 ORDRES 1000 W;AIRELEC;UN;69;47,52;;;;
70128;CDL;GENIE CLIMATIQUE;A688254;RADIATEUR CLASSIQUE TACTIC 6 ORDRES 1250 W;AIRELEC;UN;76;52,17;;;;
70129;CDL;GENIE CLIMATIQUE;A688255;RADIATEUR CLASSIQUE TACTIC 6 ORDRES 1500 W;AIRELEC;UN;78;53,63;;;;
70130;CDL;GENIE CLIMATIQUE;A688256;RADIATEUR CLASSIQUE TACTIC 6 ORDRES 1750 W;AIRELEC;UN;85;58,89;;;;
70131;CDL;GENIE CLIMATIQUE;A688257;RADIATEUR CLASSIQUE TACTIC 6 ORDRES 2000 W;AIRELEC;UN;89;61,27;;;;
70132;CDL;GENIE CLIMATIQUE;A687481;RADIATEUR CLASSIQUE TACTIC ET 4 ORDRES  500 W;AIRELEC;UN;54;37,56;;;;
70133;CDL;GENIE CLIMATIQUE;A687482;RADIATEUR CLASSIQUE TACTIC ET 4 ORDRES  750 W;AIRELEC;UN;56;38,34;;;;
70134;CDL;GENIE CLIMATIQUE;A687483;RADIATEUR CLASSIQUE TACTIC ET 4 ORDRES 1000 W;AIRELEC;UN;57;39,60;;;;
70135;CDL;GENIE CLIMATIQUE;A687484;RADIATEUR CLASSIQUE TACTIC ET 4 ORDRES 1250 W;AIRELEC;UN;63;43,23;;;;
70136;CDL;GENIE CLIMATIQUE;A687485;RADIATEUR CLASSIQUE TACTIC ET 4 ORDRES 1500 W;AIRELEC;UN;67;46,27;;;;
70137;CDL;GENIE CLIMATIQUE;A687486;RADIATEUR CLASSIQUE TACTIC ET 4 ORDRES 1750 W;AIRELEC;UN;75;51,74;;;;
70138;CDL;GENIE CLIMATIQUE;A687487;RADIATEUR CLASSIQUE TACTIC ET 4 ORDRES 2000 W;AIRELEC;UN;75;52,04;;;;
70139;CDL;GENIE CLIMATIQUE;A689662;RADIATEUR RAYONNANT AIXANCE SAS 6 ORDRES  750W;AIRELEC;UN;169;116,57;;;;
70140;CDL;GENIE CLIMATIQUE;A689663;RADIATEUR RAYONNANT AIXANCE SAS 6 ORDRES 1000W;AIRELEC;UN;178;122,47;;;;
70141;CDL;GENIE CLIMATIQUE;A689664;RADIATEUR RAYONNANT AIXANCE SAS 6 ORDRES 1250W;AIRELEC;UN;194;134,08;;;;
70142;CDL;GENIE CLIMATIQUE;A689665;RADIATEUR RAYONNANT AIXANCE SAS 6 ORDRES 1500W;AIRELEC;UN;208;143,68;;;;
70143;CDL;GENIE CLIMATIQUE;A689667;RADIATEUR RAYONNANT AIXANCE SAS 6 ORDRES 2000W;AIRELEC;UN;241;166,49;;;;
70144;CDL;GENIE CLIMATIQUE;A689673;RADIATEUR RAYONNANT AIXANCE SAS VERT 1000 W;AIRELEC;UN;186;128,51;;;;
70145;CDL;GENIE CLIMATIQUE;A689675;RADIATEUR RAYONNANT AIXANCE SAS VERT 1500 W;AIRELEC;UN;215;148,00;;;;
70146;CDL;GENIE CLIMATIQUE;A689677;RADIATEUR RAYONNANT AIXANCE SAS VERT 2000 W;AIRELEC;UN;249;171,49;;;;
70147;CDL;GENIE CLIMATIQUE;A689921;RADIATEUR SECHE-SERVIETTES  SAMOA BAINS 600W;AIRELEC;UN;419;288,93;;;;
70148;CDL;GENIE CLIMATIQUE;A689922;RADIATEUR SECHE-SERVIETTES  SAMOA BAINS 750W;AIRELEC;UN;487;336,19;;;;
70149;CDL;GENIE CLIMATIQUE;A689923;RADIATEUR SECHE-SERVIETTES  SAMOA BAINS 900W;AIRELEC;UN;564;388,78;;;;
70150;CDL;GENIE CLIMATIQUE;A689925;RADIATEUR SECHE-SERVIETTES  SAMOA BAINS VENTILE 600+V1000W;AIRELEC;UN;577;398,27;;;;
70151;CDL;GENIE CLIMATIQUE;A689926;RADIATEUR SECHE-SERVIETTES  SAMOA BAINS VENTILE 750+V1000W;AIRELEC;UN;672;463,40;;;;
70152;CDL;GENIE CLIMATIQUE;A689927;RADIATEUR SECHE-SERVIETTES  SAMOA BAINS VENTILE 900+V1000W;AIRELEC;UN;723;498,58;;;;
