_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET;;;;;;
100103;SOCOLEC;GENIE CLIMATIQUE;11023995;00046023995;RACCORD MIXTE OBL. CIRC. DROIT D125;ALDES ;1;7,89;4,58;;;;;;
100104;SOCOLEC;GENIE CLIMATIQUE;11026021;00046026021;KIT SANITAIRE 15 M3 POUR COMPACT;ALDES ;1;12,80;3,71;;;;;;
100105;SOCOLEC;GENIE CLIMATIQUE;11026022;00046026022;KIT SANITAIRE 30 M3 POUR COMPACT;ALDES ;1;12,80;3,71;;;;;;
100106;SOCOLEC;GENIE CLIMATIQUE;11026100;00046026100;VMC GROUPE SEUL COMPACT;ALDES ;1;152,00;88,16;;;;;;
100107;SOCOLEC;GENIE CLIMATIQUE;11026101;00046026101;VMC SIMPLE FLUX AUTOREGLABLE  KIT COMPACT;ALDES ;1;163,00;94,54;;;;;;
100108;SOCOLEC;GENIE CLIMATIQUE;11026103;00046026103;VMC SIMPLE FLUX AUTOREGLABLE REPARTIE MULTI;ALDES ;1;270,00;156,60;;;;;;
100109;SOCOLEC;GENIE CLIMATIQUE;11026104;00046026104;VMC SIMPLE FLUX AUTOREGLABLE REPARTIE MONO;ALDES ;1;177,00;102,66;;;;;;
100110;SOCOLEC;GENIE CLIMATIQUE;11026113;00046026113;VMC GROUPE SEUL SEKOÏA  SIMPLE FLUX AUTOREGLABLE;ALDES ;1;127,00;73,66;;;;;;
100111;SOCOLEC;GENIE CLIMATIQUE;11026114;00046026114;VMC SIMPLE FLUX AUTOREGLABLE KIT SEKOÏA  AVEC INVERSEUR;ALDES ;1;139,00;51,43;;;;;;
100112;SOCOLEC;GENIE CLIMATIQUE;11026115;00046026115;VMC SIMPLE FLUX AUTOREGLABLE KIT SEKOÏA  AVEC TIMER;ALDES ;1;175,00;101,50;;;;;;
100113;SOCOLEC;GENIE CLIMATIQUE;11027001;00046027001;KIT ACCESSOIRES VMP H 3-4;ALDES ;1;247,00;143,26;;;;;;
100114;SOCOLEC;GENIE CLIMATIQUE;11027002;00046027002;KIT ACCESSOIRES VMP H 4-5;ALDES ;1;290,00;168,20;;;;;;
100115;SOCOLEC;GENIE CLIMATIQUE;11027003;00046027003;ECHANGEUR VMP H POUR VMC DOUBLE FLUX;ALDES ;1;729,00;422,82;;;;;;
100116;SOCOLEC;GENIE CLIMATIQUE;11027006;00046027006;VMC DOUBLE FLUX MOTO VENTILATEUR H  3-4 ET H 4-5;ALDES ;1;533,00;309,14;;;;;;
100117;SOCOLEC;GENIE CLIMATIQUE;11027033;00046027033;KIT ACCESSOIRES VMP H 5-7;ALDES ;1;501,00;290,58;;;;;;
100118;SOCOLEC;GENIE CLIMATIQUE;11027034;00046027034;VMC DOUBLE FLUX MOTO VENTILATEUR H 5-7;ALDES ;1;546,00;316,68;;;;;;
